fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
29,0,,DA QING 769,412402730,1,0.0,116.848522,23.266712,248.5,80,2023-03-25 00:20:43
70,0,BOGX5,JIN WANG YOU 17,413235570,0,9.7,117.770645,23.693813,227.7,80,2023-03-25 00:23:08
92,,0000000,,413592460,15,0.0,119.547652,26.120892,213.9,80,2023-03-25 00:18:57
100,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.04018,24.46707,135.6,80,2023-03-25 00:22:24
101,9058684,9LU2698,AN SHUEN            ,667001895,2,0.1,120.183827,22.299068,229.3,80,2023-03-25 00:27:17
124,,,HAI DA 868,412703850,15,0.0,118.0378,24.427745,235.9,80,2023-03-25 00:26:59
125,,       ,,412703890,15,1.4,118.041528,24.455213,125.5,80,2023-03-25 00:26:40
184,0,BLBZ   ,HAI XIN YOU 602     ,413400630,1,0.0,118.119812,24.395808,262.6,80,2023-03-25 00:22:43
214,,,QUAN YI YOU 02      ,413697460,15,0.0,118.715027,24.816342,313.2,80,2023-03-25 00:16:57
219,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.300083,22.582933,7.3,80,2023-03-25 00:23:54
264,9134294,V3IJ2  ,ECHO STAR           ,312868000,5,0.0,117.131297,23.563992,240.3,80,2023-03-25 00:23:40
280,0,BVCZ8  ,HAI GONG 166        ,412704020,1,0.2,118.032333,24.431258,227.8,80,2023-03-25 00:25:10
281,0,BVG08  ,HAI GONG 169        ,412704030,1,0.0,118.037627,24.430498,360.0,80,2023-03-25 00:27:03
309,9630444,V7ZA6  ,BLUE ARROW          ,538004779,0,12.5,121.102038,25.207743,228.0,80,2023-03-25 00:27:13
316,9868120,BOFH7  ,BEI HAI KUN PENG    ,412474000,0,13.2,119.031942,24.667802000000002,248.6,80,2023-03-25 00:27:13
364,,BVGH8  ,,413696450,15,0.0,118.433145,24.636932,280.5,80,2023-03-25 00:24:53
366,9172234,T2HM5  ,MELATI 3            ,572210220,0,12.2,121.281955,21.986313,22.0,80,2023-03-25 00:27:14
691,0,BKQM4  ,HENG HUI 7          ,412406130,0,8.1,120.34944,26.300968,21.6,80,2023-03-25 00:27:16
810,9346861,SVCD4,KRITI VERANO,241367000,0,13.0,121.984788,23.099415,29.9,80,2023-03-25 00:27:16
944,9359870,HZAO   ,GULF HUWAYLAT       ,403584000,0,12.2,118.961983,21.907882999999998,63.0,80,2023-03-25 00:27:16
981,0,BPCO8,ZHENYANG18,412438370,1,0.1,119.043617,25.021933,143.7,80,2023-03-25 00:26:24
1110,0,BPBW9  ,MIN YOU 101         ,412459770,5,0.0,119.485333,26.018502,0.0,80,2023-03-25 00:16:05
1269,0,BPCR9  ,RONG TOU YOU 8      ,412303310,15,0.2,119.449998,25.24041,138.7,80,2023-03-25 00:26:36
1270,0,BXQQ   ,FU LI518            ,412469620,0,7.5,117.439687,23.574863,35.6,80,2023-03-25 00:24:37
1276,9686780,BRVY   ,ZHONG WEI 6         ,412476930,5,0.0,117.498067,23.757538,157.3,80,2023-03-25 00:25:09
1365,0,BKVJ5  ,YU SHUN 27          ,413443130,0,11.3,119.704353,25.194908,222.3,80,2023-03-25 00:26:50
1459,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.03712,24.466258,0.0,80,2023-03-25 00:24:20
1468,,,JINHAISHUN3         ,413695940,15,0.0,118.0401,24.467075,74.7,80,2023-03-25 00:15:15
1469,,,HAIMINGHUA168       ,413695950,15,0.0,118.036343,24.469248,36.8,80,2023-03-25 00:26:25
1471,,,SHUN ZHOU 99        ,413697050,15,0.0,118.192548,24.560825,281.4,80,2023-03-25 00:25:57
1472,,BVBL6,,413697070,15,0.0,117.580627,23.772747,0.0,80,2023-03-25 00:16:19
1475,,,MIN XIA MEN YOU 0087,413697180,15,0.0,118.036532,24.463413,244.0,80,2023-03-25 00:21:31
1481,9702974,BVIT5  ,XING TONG 10        ,413697810,0,0.4,119.053867,25.044515,4.0,80,2023-03-25 00:27:15
1486,0,BVHW8  ,HAI GONG 167        ,413698470,8,0.0,118.037065,24.462502,167.7,80,2023-03-25 00:26:46
1487,,,HENG YU 9           ,413698760,15,0.0,118.365632,24.51562,65.4,80,2023-03-25 00:27:12
1536,0,BQ3019,CHUNG YU NO1,416000120,1,0.0,120.519118,24.286647,241.9,80,2023-03-25 00:24:23
1566,0,BFJD   ,CHIXUN 169          ,413303450,0,10.2,117.956482,23.836323,233.0,80,2023-03-25 00:23:06
1609,0,BFBM9  ,ZHONG HAI YOU 668   ,413305640,1,0.2,119.794173,26.26436,177.6,80,2023-03-25 00:24:48
