fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
24,9134294,V3IJ2  ,ECHO STAR           ,312868000,5,0.2,117.131298,23.563983,168.0,80,2023-03-25 16:05:40
63,9172234,T2HM5  ,MELATI 3            ,572210220,0,12.5,122.567453,25.161287,13.9,80,2023-03-25 16:17:22
116,9263227,HOZX   ,COSBRIGHT LAKE      ,351165000,0,13.7,119.928557,20.20179,54.8,80,2023-03-25 16:13:53
130,,,HAI DA 868,412703850,15,0.0,118.040017,24.427733,123.7,80,2023-03-25 16:15:26
131,,       ,,412703890,15,1.4,118.041555,24.45536,161.1,80,2023-03-25 16:11:13
206,0,BVCZ8  ,HAI GONG 166        ,412704020,1,0.0,118.034253,24.431088,360.0,80,2023-03-25 16:17:00
207,0,BVG08  ,HAI GONG 169        ,412704030,1,0.1,118.039413,24.430087,360.0,80,2023-03-25 16:17:22
224,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.040285,24.466798,274.1,80,2023-03-25 16:10:41
225,0,BVAK8  ,HAI DA 788          ,413696810,1,0.0,118.03632,24.425078,360.0,80,2023-03-25 16:15:54
227,9058684,9LU2698,AN SHUEN            ,667001895,2,0.30000000000000004,120.185653,22.163038,223.8,80,2023-03-25 16:17:16
264,0,SSD,JI XIANG 17,414403170,0,9.9,120.378542,26.38029,202.2,80,2023-03-25 16:17:24
272,9445473,D5SA5  ,ATHERINA            ,636018918,0,13.3,122.6699,23.019783,12.6,80,2023-03-25 16:17:22
305,0,BPDX9  ,XIANGSHUNYOU9   ,413400670,1,0.5,117.5506,23.7117,196.6,80,2023-03-25 16:14:12
333,,,QUAN YI YOU 02      ,413697460,15,0.0,118.715142,24.81646,133.0,80,2023-03-25 16:14:40
339,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.300148,22.583015,7.3,80,2023-03-25 16:14:53
348,,0000000,,413592460,15,0.0,119.547657,26.12103,171.5,80,2023-03-25 16:15:33
352,0,BODT5  ,SHENG RONG 26       ,413223960,5,0.0,117.584313,23.738947,77.3,80,2023-03-25 16:13:27
368,,BVFG 8 ,,413699880,15,0.0,118.037438,24.46612,178.2,80,2023-03-25 16:15:29
369,9630444,V7ZA6  ,BLUE ARROW          ,538004779,5,0.0,120.505818,24.265595,212.6,80,2023-03-25 16:15:19
604,0,BPEC,JING WEI YOU 1,412423130,0,9.7,120.095452,25.68924,212.7,80,2023-03-25 16:17:25
859,9359870,HZAO   ,GULF HUWAYLAT       ,403584000,0,3.8,119.986717,23.7332,24.0,80,2023-03-25 16:17:14
878,0,BPCO8,ZHENYANG18,412438370,1,0.2,119.044783,25.020783,162.2,80,2023-03-25 16:11:59
879,0,BKSO3  ,KANG FA 11          ,412438420,5,0.0,117.880813,24.432772,360.0,80,2023-03-25 16:08:25
1178,9335109,C6VP7  ,GULF ELAN           ,309833000,0,12.1,118.999217,24.119783,40.0,80,2023-03-25 16:17:04
1182,9783722,C6DC4  ,SEATRIUMPH          ,311000636,0,12.5,122.262835,22.200965,198.1,80,2023-03-25 16:17:21
1208,0,BXQQ   ,FU LI518            ,412469620,1,0.0,118.106823,24.386338,0.0,80,2023-03-25 16:16:13
1217,9686780,BRVY   ,ZHONG WEI 6         ,412476930,0,11.2,116.899322,23.210928,216.3,80,2023-03-25 16:11:19
1273,0,BPBW9  ,MIN YOU 101         ,412459770,0,9.1,119.800973,25.280202,203.5,80,2023-03-25 16:17:17
1329,,0000000,,412592650,15,0.0,117.45384,23.657608,102.4,80,2023-03-25 16:05:31
1356,0,BOCI6,SHUN YANG 77,413438050,0,6.5,120.554977,27.16952,228.3,80,2023-03-25 16:14:46
1361,0,BKTI5,KAI FENG 17,413445240,1,0.30000000000000004,119.103555,24.961287,0.0,80,2023-03-25 16:11:44
1420,0,TEST   ,JIN HANG YOU 68     ,413570990,0,10.8,120.787173,26.857947,39.3,80,2023-03-25 16:17:15
1424,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.03748,24.466098,0.0,80,2023-03-25 16:09:58
1428,,,,413695530,0,0.0,118.037762,24.463985,360.0,80,2023-03-25 16:08:49
1435,,,JINHAISHUN3         ,413695940,15,0.0,118.04028,24.46676,74.7,80,2023-03-25 16:09:03
1436,,,HAIMINGHUA168       ,413695950,15,0.0,118.03667,24.469377,36.8,80,2023-03-25 16:16:36
1438,,,SHUN ZHOU 99        ,413697050,15,0.0,118.192548,24.560825,281.4,80,2023-03-25 16:17:11
1441,,,MIN XIA MEN YOU 0087,413697180,15,0.0,118.03697,24.46329,244.0,80,2023-03-25 16:10:15
1444,,BVHC8,,413697550,15,0.0,118.037498,24.46637,279.4,80,2023-03-25 16:09:17
1452,0,BVJE5,XINGTONG106,413698440,0,0.0,118.924798,25.052525,360.0,80,2023-03-25 16:15:47
1454,0,BVHW8  ,HAI GONG 167        ,413698470,8,0.0,118.037485,24.46258,156.2,80,2023-03-25 16:08:56
1455,,,HENG YU 9           ,413698760,15,0.0,118.036422,24.429983,83.2,80,2023-03-25 16:16:13
1558,,BIBI9  ,,413377790,15,0.2,119.793415,26.264952,51.0,80,2023-03-25 16:14:47
1559,,BIBJ2  ,,413377810,15,0.1,119.792917,26.266938,120.7,80,2023-03-25 16:15:29
1565,0,BLGO3  ,ZHONG HAI YOU 698   ,413405390,0,0.0,119.572787,26.134973,355.9,80,2023-03-25 16:17:11
1566,0,BOBV7,SHUN KAI 83,413407960,0,11.3,117.484283,23.573333,210.5,80,2023-03-25 16:05:21
1572,0,       ,YONGFENGDA98,413427230,0,7.7,121.095857,27.625617,48.1,80,2023-03-25 16:10:49
1599,0,BFBM9  ,ZHONG HAI YOU 668   ,413305640,1,0.2,119.795293,26.26473,146.8,80,2023-03-25 16:15:48
1621,0,BQ3019,CHUNG YU NO1,416000120,1,0.0,120.519165,24.286767,241.9,80,2023-03-25 16:06:32
1655,0,BPCX9  ,XIN XIANG TAI       ,412378820,5,0.0,118.043702,24.452402,356.6,80,2023-03-25 16:07:51
1692,0,BOYU6,YIJIA1HAO,413357930,0,9.9,120.229115,26.09464,204.2,80,2023-03-25 16:17:23
1699,0,BVFR8,HAIDA988,412705360,1,0.2,118.044417,24.425778,3.3,80,2023-03-25 16:08:23
1702,9919735,VRUZ5  ,THERESA TIGA        ,477859300,0,13.2,121.196795,19.841088,203.2,80,2023-03-25 16:15:09
1709,,,,413700790,15,0.1,118.037717,24.463793,175.1,80,2023-03-25 16:10:19
1729,0,0      ,MING RI GUANG 10 HAO,413232120,0,8.9,119.141227,24.66231,55.1,80,2023-03-25 16:17:21
1751,0,,HUA SHENG366        ,414403440,1,0.0,119.110483,24.969288,121.1,80,2023-03-25 16:15:17
1754,0,____   ,BAI TONG 9          ,414405380,1,0.0,119.09012,24.972087,122.1,80,2023-03-25 16:14:35
1851,9435583,BPFM   ,LING YANG ZUO       ,413178000,0,11.0,120.009315,25.066805,232.5,80,2023-03-25 16:16:59
1866,9550060,BPBF7  ,HUA FU YOU 2        ,413498270,5,0.0,119.262658,25.427062,264.5,80,2023-03-25 16:08:07
1869,9249336,HOWO   ,LYCASTE PEACE       ,357261000,0,14.6,121.798423,22.779425,201.3,80,2023-03-25 16:17:21
1881,9337171,VRMH6  ,COSPEARL LAKE       ,477242700,0,15.6,122.732858,25.925005,197.1,80,2023-03-25 16:17:19
1884,0,BKWF3,DA QING 739,413404390,1,0.0,118.533365,24.527823,49.1,80,2023-03-25 16:17:23
1888,8910639,BNCB   ,TONG YEA NO.3       ,416124900,0,0.1,120.286002,22.597548,360.0,80,2023-03-25 16:17:23
