fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
2,0,BLBZ   ,HAI XIN YOU 602     ,413400630,1,0.0,118.119612,24.395517,262.6,80,2023-03-25 01:34:43
84,9134294,V3IJ2  ,ECHO STAR           ,312868000,5,0.1,117.131285,23.563985,231.9,80,2023-03-25 01:35:39
124,9172234,T2HM5  ,MELATI 3            ,572210220,0,13.1,121.378985,22.218412,26.6,80,2023-03-25 01:37:24
151,0,,DA QING 769,412402730,1,0.2,116.848127,23.266083,177.9,80,2023-03-25 01:29:46
207,0,BVCZ8  ,HAI GONG 166        ,412704020,1,0.1,118.032333,24.431238,360.0,80,2023-03-25 01:34:07
208,0,BVG08  ,HAI GONG 169        ,412704030,1,0.2,118.037613,24.430442,360.0,80,2023-03-25 01:36:03
231,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.039748,24.466855,216.7,80,2023-03-25 01:32:41
232,9058684,9LU2698,AN SHUEN            ,667001895,2,0.2,120.18496,22.302845,304.4,80,2023-03-25 01:37:16
307,0,0      ,DONG  FANG  59      ,413358250,0,6.4,119.048307,25.035238,349.1,80,2023-03-25 01:37:24
333,9445473,D5SA5  ,ATHERINA            ,636018918,0,13.4,120.782557,20.633722,53.8,80,2023-03-25 01:31:52
371,9630444,V7ZA6  ,BLUE ARROW          ,538004779,0,11.6,120.912147,25.046702,222.5,80,2023-03-25 01:37:12
378,9868120,BOFH7  ,BEI HAI KUN PENG    ,412474000,0,13.7,118.828745,24.50013,228.4,80,2023-03-25 01:35:14
429,,,,412703850,1,0.0,118.0378,24.42775,271.1,80,2023-03-25 01:37:14
449,,,QUAN YI YOU 02      ,413697460,15,0.0,118.715012,24.816367,270.5,80,2023-03-25 01:37:12
454,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.300087,22.582932,7.3,80,2023-03-25 01:35:49
462,,0000000,,413592460,15,0.0,119.547642,26.120905,287.1,80,2023-03-25 01:30:53
466,0,BODT5  ,SHENG RONG 26       ,413223960,1,0.2,117.547265,23.712948,323.1,80,2023-03-25 01:25:03
573,9783722,C6DC4  ,SEATRIUMPH          ,311000636,0,11.7,122.897265,25.30463,190.5,80,2023-03-25 01:36:50
765,9346861,SVCD4,KRITI VERANO,241367000,0,13.2,122.124607,23.322503,26.9,80,2023-03-25 01:37:16
778,0,BPCR9  ,RONG TOU YOU 8      ,412303310,15,0.30000000000000004,119.450182,25.240315,144.9,80,2023-03-25 01:26:34
844,9596272,3FQH2  ,MERIDIAN EXPRESS    ,356537000,0,11.2,119.88992,21.621207,267.6,80,2023-03-25 01:32:33
857,0,BXQQ   ,FU LI518            ,412469620,0,6.7,117.529693,23.652817,51.7,80,2023-03-25 01:25:22
922,0,BKQM4  ,HENG HUI 7          ,412406130,0,8.0,120.43296,26.433398,40.5,80,2023-03-25 01:37:19
1005,9359870,HZAO   ,GULF HUWAYLAT       ,403584000,0,12.1,119.179167,22.02395,29.0,80,2023-03-25 01:37:15
1135,0,BPCO8,ZHENYANG18,412438370,1,0.1,119.044133,25.020833,209.3,80,2023-03-25 01:35:22
1300,0,0      ,MING RI GUANG 10 HAO,413232120,0,10.2,117.4104,23.424235,47.7,80,2023-03-25 01:27:51
1354,0,BPBW9  ,MIN YOU 101         ,412459770,5,0.0,119.4854,26.018552,0.0,80,2023-03-25 01:37:05
1447,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.03728,24.46615,0.0,80,2023-03-25 01:34:44
1451,,,,413695530,15,0.0,118.037267,24.463695,0.9,80,2023-03-25 01:25:15
1457,,,JINHAISHUN3         ,413695940,15,0.0,118.03999,24.466917,74.7,80,2023-03-25 01:36:12
1458,,,HAIMINGHUA168       ,413695950,15,0.0,118.036282,24.469255,36.8,80,2023-03-25 01:34:43
1461,,,SHUN ZHOU 99        ,413697050,15,0.0,118.192548,24.560825,281.4,80,2023-03-25 01:31:59
1462,,BVBL6,,413697070,15,0.0,117.58064,23.772727,0.0,80,2023-03-25 01:34:20
1465,,,MIN XIA MEN YOU 0087,413697180,15,0.0,118.036603,24.463257,244.0,80,2023-03-25 01:36:32
1467,,BVHC8,,413697550,15,0.0,118.03729,24.466442,312.7,80,2023-03-25 01:35:46
1471,9702974,BVIT5  ,XING TONG 10        ,413697810,1,0.2,119.053313,25.043235,230.2,80,2023-03-25 01:34:53
1476,0,BVHW8  ,HAI GONG 167        ,413698470,8,0.0,118.037038,24.462498,158.2,80,2023-03-25 01:30:57
1477,,,HENG YU 9           ,413698760,15,0.0,118.365585,24.51558,65.4,80,2023-03-25 01:36:14
1493,9686780,BRVY   ,ZHONG WEI 6         ,412476930,5,0.0,117.498128,23.757483,157.3,80,2023-03-25 01:25:25
1524,0,BFJD   ,CHIXUN 169          ,413303450,0,10.4,117.809273,23.719433,233.2,80,2023-03-25 01:25:22
1581,0,BKVJ5  ,YU SHUN 27          ,413443130,0,11.4,119.508713,25.057215,244.3,80,2023-03-25 01:37:15
1585,0,BKTI5,KAI FENG 17,413445240,1,0.30000000000000004,119.103157,24.961343,135.8,80,2023-03-25 01:35:14
1586,0,BKPH6,YI DA 7,413447410,0,12.0,119.214192,24.922652,237.9,80,2023-03-25 01:37:21
1597,0,,SHAN QING 5 ,413470870,0,0.1,117.10839,23.559743,159.3,80,2023-03-25 01:30:42
1598,,,ZHENG LI XIN HAI 101,413472670,15,0.0,118.892222,24.876598,13.3,80,2023-03-25 01:32:45
1607,0,BVFR8,HAIDA988,412705360,1,6.3,118.068108,24.497325,200.4,80,2023-03-25 01:32:11
1732,9354894,VREF6  ,ATLANTIC LILY       ,477110700,0,10.7,120.641757,25.780365,350.0,80,2023-03-25 01:37:18
1743,0,TEST   ,JIN HANG YOU 68     ,413570990,0,8.1,119.39644,24.998027,47.3,80,2023-03-25 01:37:16
1772,9550060,BPBF7  ,HUA FU YOU 2        ,413498270,1,0.2,119.398683,25.362275,134.3,80,2023-03-25 01:34:13
1774,9249336,HOWO   ,LYCASTE PEACE       ,357261000,0,15.0,122.76646,25.94607,192.6,80,2023-03-25 01:37:18
1775,,_      ,,413466770,1,0.4,116.858347,23.26349,360.0,80,2023-03-25 01:29:46
1777,,,,413700790,15,0.0,118.037282,24.463683,106.3,80,2023-03-25 01:36:21
1784,9149251,3EHQ4  ,SHINING             ,374133000,0,13.7,118.726648,24.043475,227.6,80,2023-03-25 01:37:12
1874,0,,HUA SHENG366        ,414403440,1,0.30000000000000004,119.10972,24.969453,116.9,80,2023-03-25 01:36:14
1875,0,____   ,BAI TONG 9          ,414405380,0,8.5,119.00888,24.842513,38.0,80,2023-03-25 01:37:18
1879,9739501,D5JF9  ,ANDAMAN             ,636017088,0,13.4,122.04446,22.1797,12.7,80,2023-03-25 01:37:23
