fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
23,9134294,V3IJ2  ,ECHO STAR           ,312868000,5,0.1,117.131272,23.56402,167.7,80,2023-03-25 08:02:42
100,0,BODT5  ,SHENG RONG 26       ,413223960,5,0.0,117.584258,23.738838,77.3,80,2023-03-25 08:01:29
122,0,BLBZ   ,HAI XIN YOU 602     ,413400630,1,0.0,118.121638,24.39462,262.6,80,2023-03-25 08:04:55
123,0,BPDX9  ,XIANGSHUNYOU9   ,413400670,0,4.4,116.86339,23.227748,55.0,80,2023-03-25 08:07:01
158,0,BVCZ8  ,HAI GONG 166        ,412704020,1,0.1,118.033827,24.431027,360.0,80,2023-03-25 08:07:11
159,0,BVG08  ,HAI GONG 169        ,412704030,1,1.0,118.038413,24.430835,360.0,80,2023-03-25 08:06:06
200,,,QUAN YI YOU 02      ,413697460,15,3.2,118.715148,24.815918,166.6,80,2023-03-25 08:01:04
207,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.3001,22.582955,7.3,80,2023-03-25 08:05:55
244,,       ,,413358250,5,0.0,118.9798,25.168612,360.0,80,2023-03-25 08:05:36
261,9445473,D5SA5  ,ATHERINA            ,636018918,0,11.3,121.950558,21.434955,55.6,80,2023-03-25 07:57:11
271,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.039763,24.466857,292.4,80,2023-03-25 08:02:27
272,0,BVAK8  ,HAI DA 788          ,413696810,1,0.30000000000000004,118.035733,24.42546,174.6,80,2023-03-25 08:06:53
273,9058684,9LU2698,AN SHUEN            ,667001895,2,0.30000000000000004,120.155573,22.2653,205.8,80,2023-03-25 08:07:16
302,,BVGH8  ,,413696450,15,0.0,118.433332,24.635567,85.4,80,2023-03-25 08:06:51
304,9172234,T2HM5  ,MELATI 3            ,572210220,0,13.9,122.044262,23.509467,18.9,80,2023-03-25 08:07:17
364,0,,HAI DA 868,412703850,1,0.0,118.03925,24.428083,278.8,80,2023-03-25 08:06:15
365,,       ,,412703890,15,1.4,118.041538,24.455232,148.5,80,2023-03-25 08:05:21
395,0,,DA QING 769,412402730,1,0.2,116.848218,23.265372,162.7,80,2023-03-25 08:05:42
429,9630444,V7ZA6  ,BLUE ARROW          ,538004779,5,0.0,120.505787,24.265488,212.6,80,2023-03-25 08:06:16
474,9346861,SVCD4,KRITI VERANO,241367000,0,12.9,122.643593,24.606987,15.6,80,2023-03-25 08:06:57
501,9359870,HZAO   ,GULF HUWAYLAT       ,403584000,0,10.9,119.850867,23.063383,31.0,80,2023-03-25 08:07:15
692,0,BPCR9  ,RONG TOU YOU 8      ,412303310,15,0.0,119.449825,25.240568,99.1,80,2023-03-25 08:02:31
939,9783722,C6DC4  ,SEATRIUMPH          ,311000636,0,12.5,122.673763,23.96905,179.6,80,2023-03-25 08:07:10
964,0,BXQQ   ,FU LI518            ,412469620,0,5.9,117.951958,24.029193,45.9,80,2023-03-25 08:07:11
1106,0,BPEC,JING WEI YOU 1,412423130,0,10.4,120.859518,26.969028,205.2,80,2023-03-25 08:04:14
1135,0,BPCO8,ZHENYANG18,412438370,1,0.0,119.0439,25.021067,57.9,80,2023-03-25 08:05:24
1136,0,BKSO3  ,KANG FA 11          ,412438420,5,0.0,117.8808,24.432707,360.0,80,2023-03-25 07:59:23
1194,0,BPBW9  ,MIN YOU 101         ,412459770,5,0.0,119.485373,26.018535,0.0,80,2023-03-25 07:58:03
1294,,BIBI9  ,,413377790,15,0.1,119.792442,26.264555,51.0,80,2023-03-25 08:05:19
1295,,BIBJ2  ,,413377810,15,0.1,119.791597,26.266805,120.7,80,2023-03-25 08:03:16
1345,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.03704,24.466645,0.0,80,2023-03-25 08:04:52
1346,,,MIN XIA MEN YOU 0089,413695110,15,0.0,118.07576,24.506755,115.5,80,2023-03-25 08:02:41
1347,0,,ZHOU HAI 66,413695530,15,0.0,118.037093,24.46403,359.8,80,2023-03-25 08:01:14
1354,,,HAIMINGHUA168       ,413695950,15,0.0,118.036297,24.469235,36.8,80,2023-03-25 07:57:47
1405,0,TEST   ,JIN HANG YOU 68     ,413570990,0,9.6,120.023413,25.717172,25.7,80,2023-03-25 08:07:07
1418,9435583,BPFM   ,LING YANG ZUO       ,413178000,0,13.5,121.009908,26.657192,214.8,80,2023-03-25 08:07:11
1507,0,BQ3019,CHUNG YU NO1,416000120,1,0.0,120.519157,24.286635,241.9,80,2023-03-25 08:06:27
1577,0,,HUA SHENG366        ,414403440,1,0.1,119.110155,24.969393,303.8,80,2023-03-25 08:06:12
1578,0,____   ,BAI TONG 9          ,414405380,1,0.4,119.090427,24.97192,291.2,80,2023-03-25 08:05:35
1583,9739501,D5JF9  ,ANDAMAN             ,636017088,0,13.2,122.399687,23.59415,9.2,80,2023-03-25 08:07:16
1602,,,SHUN ZHOU 99        ,413697050,15,0.0,118.192548,24.560825,281.4,80,2023-03-25 08:06:23
1603,,BVBL6,,413697070,15,0.2,117.580707,23.772718,0.0,80,2023-03-25 07:58:23
1606,,,MIN XIA MEN YOU 0087,413697180,15,0.0,118.036572,24.463373,244.0,80,2023-03-25 08:00:49
1608,,BVHC8,,413697550,15,0.0,118.037353,24.466728,18.6,80,2023-03-25 08:05:24
