fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
2,0,BEJE   ,CHENG LANG 66       ,413570560,0,9.7,119.30308,24.934168,228.9,80,2023-03-14 19:47:03
44,0,BVCZ8  ,HAI GONG 166        ,412704020,0,0.0,118.03684,24.429855,360.0,80,2023-03-14 19:46:14
45,0,BVG08  ,HAI GONG 169        ,412704030,1,0.9,118.03864,24.42931,360.0,80,2023-03-14 19:47:45
60,0,BSNW   ,HAI XIONG YOU 2     ,412476870,0,9.3,118.95162,24.784095,224.3,80,2023-03-14 19:38:40
63,9947029,9HA5700,BWEK BORNHOLM       ,256110000,1,0.1,119.687437,25.23903,172.0,80,2023-03-14 19:40:22
64,,,HAI DA 868,412703850,15,0.0,118.03715,24.4245,115.7,80,2023-03-14 19:43:28
67,0,BVAQ8,HAI ZHI XING 168,412703930,1,0.0,117.548328,23.720972,111.1,80,2023-03-14 19:43:50
88,,,QUAN YI YOU 02      ,413697460,15,0.6000000000000001,118.715057,24.81652,1.5,80,2023-03-14 19:39:17
94,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.30083,22.584463,34.3,80,2023-03-14 19:46:26
95,9814571,BR4001 ,CHUNG YU NO.22      ,416005452,8,0.0,120.301312,22.58461,130.9,80,2023-03-14 19:47:56
123,0,BLBZ   ,HAI XIN YOU 602     ,413400630,1,0.2,119.83126,25.960128,313.3,80,2023-03-14 19:44:54
183,,BVGH8  ,,413696450,15,0.0,118.43344,24.635452,94.6,80,2023-03-14 19:44:26
261,8408636,9LU2144,KUN PENG            ,667001341,2,0.8,121.631543,25.912852,126.4,80,2023-03-14 19:44:20
263,0,BOAR 5 ,NING YUAN XING GUANG,413216050,0,10.6,120.61624,27.088293,29.9,80,2023-03-14 19:46:58
280,0,BKBW   ,DONG HAI 216        ,413459020,0,11.5,117.39975,23.377227,234.1,80,2023-03-14 19:46:48
281,0,BKXR6  ,HUACHEN366          ,413459050,5,0.0,118.042832,24.452647,310.0,80,2023-03-14 19:44:40
322,0,,DA QING 769,412402730,5,0.0,118.430187,24.641112,330.6,80,2023-03-14 19:45:13
364,,       ,,413358250,0,7.3,119.775893,25.857597,26.0,80,2023-03-14 19:44:47
372,0,BBIU5,HUIJINYI 039,413327960,1,0.0,118.492108,24.551332,110.0,80,2023-03-14 19:38:15
424,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.039768,24.467138,178.4,80,2023-03-14 19:46:19
425,0,BVAK8  ,HAI DA 788          ,413696810,1,0.1,118.043667,24.428212,2.4,80,2023-03-14 19:45:23
426,9058684,9LU2698,AN SHUEN            ,667001895,0,0.2,119.14448,22.966037,178.3,80,2023-03-14 19:47:52
487,0,BOGX5,JIN WANG YOU 17,413235570,0,10.4,119.007058,24.8626,206.1,80,2023-03-14 19:45:49
546,9213208,E5U3586,PROGRESS 10         ,518100675,5,0.1,120.165848,22.973853,160.2,80,2023-03-14 19:46:26
594,9770517,SVCK4  ,MARAN ARIADNE       ,241438000,0,14.5,122.69658,25.452657,20.0,80,2023-03-14 19:38:38
781,9359868,HZAJ   ,GULF FANATIR        ,403079000,0,12.8,119.8445,23.85585,189.0,80,2023-03-14 19:47:45
824,9547520,H3UD   ,AKANE               ,353172000,0,12.5,122.309,22.122983,26.0,80,2023-03-14 19:45:06
828,9773935,3FOK3  ,STAR ENERGY         ,354536000,1,0.0,120.06331,23.763127,180.0,80,2023-03-14 19:36:08
1170,9734678,C6BV7  ,CONCORDE            ,311000378,0,13.9,120.092857,25.390232,246.5,80,2023-03-14 19:46:56
1315,9859698,3FOX8  ,MORNING FLORA       ,352605000,0,12.8,118.166627,23.479738,37.0,80,2023-03-14 19:47:59
1323,0,BHTU   ,KUAN  YUAN          ,412351130,0,9.0,117.637973,23.669435,54.8,80,2023-03-14 19:40:14
1375,0,,HUA SHUN 398        ,413206830,0,10.9,117.690295,23.61971,58.2,80,2023-03-14 19:47:14
1379,0,BOAA8  ,YUAN XIANG 9        ,413212540,0,9.3,119.994973,25.6731,211.9,80,2023-03-14 19:47:59
1383,,,MINXIAMENYOU0026,413215850,0,0.2,118.038193,24.462997,39.8,80,2023-03-14 19:46:52
1415,0,0000   ,RUI YUN 9           ,414402880,0,11.3,119.95072,25.683733,168.2,80,2023-03-14 19:47:56
1449,0,BPBW9  ,MIN YOU 101         ,412459770,0,0.9,119.04264,25.014218,201.6,80,2023-03-14 19:46:44
1471,0,BHYD,SHENGFEI501,413358580,0,10.4,120.097572,25.702298,19.5,80,2023-03-14 19:46:22
1491,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.037053,24.466938,0.0,80,2023-03-14 19:39:18
1494,,,,413695530,0,0.0,118.037125,24.464308,360.0,80,2023-03-14 19:42:51
1501,,,JINHAISHUN3         ,413695940,15,0.0,118.039768,24.467235,170.6,80,2023-03-14 19:39:39
1502,,,HAIMINGHUA168       ,413695950,15,0.0,118.03633,24.469853,153.8,80,2023-03-14 19:46:04
1503,9629251,BVIG7  ,MIN FENG YOU 1      ,413696250,0,12.0,117.85545,23.84173,47.8,80,2023-03-14 19:47:39
1504,,,SHUN ZHOU 99        ,413697050,15,0.0,118.192648,24.560845,127.0,80,2023-03-14 19:46:58
1505,,,ZHOUHAI 62,413697060,15,0.0,118.037213,24.46441,199.1,80,2023-03-14 19:47:40
1507,,,MIN XIA MEN YOU 0087,413697180,15,0.0,118.036447,24.463577,307.6,80,2023-03-14 19:43:41
1509,,BVHC8,,413697550,15,0.0,118.037293,24.466785,241.4,80,2023-03-14 19:42:38
1511,9702974,BVIT5  ,XING TONG 10        ,413697810,5,0.0,118.08796,24.537918,0.0,80,2023-03-14 19:43:18
1514,,,HAIGONG167,413698470,8,0.0,118.03697,24.462885,162.0,80,2023-03-14 19:45:52
1515,,,HENG YU 9           ,413698760,15,0.0,118.364353,24.515917,37.6,80,2023-03-14 19:45:45
1518,,,LU HAI XING 67,413699550,15,0.0,118.038125,24.46308,111.8,80,2023-03-14 19:43:37
1572,0,BQ3019,CHUNG YU NO1,416000120,1,0.0,120.51915,24.286742,63.9,80,2023-03-14 19:46:28
1625,0,BOKY8  ,DONG CHENG YOU 161  ,413496820,0,10.5,118.520133,24.331967,53.6,80,2023-03-14 19:47:57
1680,0,BQKH   ,HONG ZHI 88         ,412705520,1,0.0,119.84012,26.200688,8.2,80,2023-03-14 19:39:31
1688,0,BKQS5,GUO YANG 79,412763650,1,0.0,118.116133,24.408733,343.2,80,2023-03-14 19:39:48
1689,0,BKSQ5,DA  DONG FANG 22,412763880,0,10.0,118.932862,24.509705,57.3,80,2023-03-14 19:41:07
1695,0,BKXG5  ,HONG RUN 38         ,413444310,0,9.5,120.932892,27.468502,44.1,80,2023-03-14 19:47:46
1720,0,BOCI6,SHUN YANG 77,413438050,0,8.7,119.896262,25.819323,179.1,80,2023-03-14 19:47:55
1725,0,BKXL5,JINLUN12,413444680,0,9.6,120.083297,25.697382,202.8,80,2023-03-14 19:47:49
1726,0,BKTI5,KAI FENG 17,413445240,0,11.0,119.439703,25.053973,81.5,80,2023-03-14 19:47:08
1728,0,BKXU5  ,GUO HONG 10,413446080,0,10.6,120.591825,27.044107,29.5,80,2023-03-14 19:39:22
1730,0,BKPH6,YI DA 7,413447410,5,0.0,118.430578,24.642273,0.0,80,2023-03-14 19:44:04
1732,0,BKLL   ,XIN AO TAI 161      ,413451240,1,0.1,118.224983,24.319835,23.7,80,2023-03-14 19:45:34
1737,0,BSWZ   ,HE LIAN YOU 17      ,413459480,0,11.8,119.18349,24.843275,57.3,80,2023-03-14 19:35:52
1740,0,,SHAN QING 5 ,413470870,0,0.1,117.108262,23.559728,17.6,80,2023-03-14 19:45:34
1742,9233674,BRSR,ZHAOSHANGYI,413476340,5,0.0,117.127922,23.567352,0.0,80,2023-03-14 19:44:25
1801,9777371,LADF8  ,BOW PALLADIUM       ,257246000,0,13.4,119.228617,24.212922,235.1,80,2023-03-14 19:47:47
1881,9594688,BYFU   ,FENG HAI 23         ,413466780,0,12.0,120.844873,26.915768,32.7,80,2023-03-14 19:47:46
1921,0,BLGO3  ,ZHONG HAI YOU 698   ,413405390,0,0.0,119.730227,26.740007,8.7,80,2023-03-14 19:40:37
1930,9186273,3EQU6  ,JM SCORPIO          ,357057000,0,0.0,120.506618,24.267808,218.7,80,2023-03-14 19:47:43
2025,0,BIBV5  ,NINGSHENHAIYOU 8    ,413378820,0,10.3,119.197647,24.831795,48.8,80,2023-03-14 19:47:51
2026,0,BIBW6,HENGZHOU002,413378870,0,9.4,120.142577,25.940097,23.5,80,2023-03-14 19:47:59
2056,9322968,A8IW6  ,NS POWER            ,636012897,0,13.3,118.93462,24.078018,50.0,80,2023-03-14 19:47:45
2058,9411329,HZEI   ,NCC SAFA            ,403517001,0,13.3,121.697297,26.81075,239.9,80,2023-03-14 19:45:38
2146,,,MIN XIA MEN YOU 0060,412459660,15,0.0,118.037005,24.462875,98.5,80,2023-03-14 19:42:46
2292,9509449,V7RD5  ,ELANDRA OAK         ,538006775,0,13.5,119.09027,23.333307,137.2,80,2023-03-14 19:47:59
2332,0,BIBQ5  ,JIAN QIAO 211       ,413378260,1,0.0,118.122775,24.396818,92.7,80,2023-03-14 19:36:14
2364,9821005,D5PC6  ,SUNNY RAINBOW       ,636018303,5,0.1,121.394315,25.158872,158.8,80,2023-03-14 19:46:10
2428,9363869,3ETR3  ,BAY YASU            ,370646000,0,13.4,121.626307,22.610207,26.4,80,2023-03-14 19:47:44
2448,9536038,BUSZ   ,CHANG AN ZHOU       ,413361010,0,12.9,119.493027,24.71941,49.5,80,2023-03-14 19:46:56
2482,0,BOAR4  ,BANG YANG 7         ,414404060,0,11.8,119.16698,24.807658,61.6,80,2023-03-14 19:47:51
2589,0,,XIN MING DA 68      ,413275410,0,12.4,118.423807,24.368975,73.2,80,2023-03-14 19:47:56
2784,9337157,C6WV2  ,KOKKARI             ,311001100,0,14.1,122.980958,23.44889,195.0,80,2023-03-14 19:41:03
2899,9820063,SSD,CHUNG YU16,416005473,15,6.9,120.319927,22.558215,317.0,80,2023-03-14 19:47:59
2900,9820075,BR4010 ,CHUNG YU NO.18      ,416005474,15,0.0,121.74328,25.140195,360.0,80,2023-03-14 19:47:51
2901,9820087,BR4011 ,CHUNG YU NO.19      ,416005475,0,0.0,121.74336,25.14034,23.4,80,2023-03-14 19:47:58
2948,9166936,BOEP   ,BAI HUA YUAN        ,413275930,5,0.0,120.16843,22.968882999999998,256.5,80,2023-03-14 19:47:24
2973,9566356,BHFC   ,TONG YUN            ,416450000,1,0.0,120.237403,22.576213,90.0,80,2023-03-14 19:47:42
3011,,,LUHAIXING66,413699970,15,0.0,118.038167,24.463183,207.0,80,2023-03-14 19:39:27
3023,0,BOYS3,XU YANG 9           ,412436270,0,9.1,120.214142,26.104425,206.2,80,2023-03-14 19:47:58
3026,0,BLTD7,YU SHUN 78,412427630,1,0.1,119.100933,24.97125,114.5,80,2023-03-14 19:39:38
3038,9852781,D5VM3  ,HOU-EI              ,636019649,0,15.0,122.526673,22.871298,13.7,80,2023-03-14 19:47:46
3065,9862281,BOYO5  ,HONG ZHI 77         ,413381110,1,0.0,119.70152,25.235212,273.8,80,2023-03-14 19:42:17
3085,926677400,T2RI5  ,EVER VICTORY        ,572439220,5,0.0,120.171253,23.796265,360.0,80,2023-03-14 19:45:43
3208,9190602,9LU2101,CHERRY 168,667001298,0,8.7,119.779725,24.506868,264.4,80,2023-03-14 19:44:50
3211,9186716,9LU2271,AQUARIUS,667001468,1,0.2,119.701817,26.796555,269.2,80,2023-03-14 19:41:00
3212,8688717,9LU2373,MAGIC STAR,667001570,1,0.2,120.250807,22.575745,360.0,80,2023-03-14 19:47:48
3214,9175731,9LU2775,CYNTHIA             ,667001972,5,0.0,119.705713,26.803287,0.0,80,2023-03-14 19:43:20
3537,9718832,V7NT9  ,KHASAB SILVER       ,538006507,0,13.9,120.211337,25.28067,44.3,80,2023-03-14 19:46:38
3538,9723124,V7RS2  ,HERCULES I          ,538006822,0,0.0,119.029965,25.044312,140.2,80,2023-03-14 19:41:22
3588,9120437,9LU2233,GENERAL NO.1,667001430,5,8.0,121.66302,25.838923,130.1,80,2023-03-14 19:44:24
3656,9367750,9V5110 ,DEE4 ELM            ,563002600,0,12.4,122.14785,22.299683,23.0,80,2023-03-14 19:47:56
3705,,BVHK8  ,,413697960,15,0.0,118.18886,24.566425,131.0,80,2023-03-14 19:46:20
3783,0,BOKS7  ,HAI GONG 198        ,413480560,1,0.0,118.033227,24.429603,360.0,80,2023-03-14 19:42:31
3807,,,MIN XIA MEN YOU 0099,413698930,15,0.0,118.03735,24.461967,9.5,80,2023-03-14 19:42:39
3816,9820714,9V8504 ,AMYLA               ,563174600,0,11.8,119.864292,22.997468,172.6,80,2023-03-14 19:47:59
3873,0,BOAY8,HUAGUANG157,413408710,1,0.2,118.519317,24.5333,0.0,80,2023-03-14 19:35:23
3889,9919149,BR4506 ,TAI HONG            ,416007195,5,0.0,120.519128,24.286688,18.4,80,2023-03-14 19:45:54
3923,0,,XIANG  SHAN  17     ,413442550,8,0.0,121.138133,28.0769,107.1,80,2023-03-14 19:39:40
3928,0,BOOD3  ,HAI DA 569          ,413269050,0,0.30000000000000004,118.043413,24.425852,271.7,80,2023-03-14 19:47:49
3929,9060613,BKAO   ,NEW ENERGY          ,416195000,5,0.0,120.294542,22.589282,36.0,80,2023-03-14 19:45:34
3935,9208239,3E3943,GODAVARI GAS,352986202,0,14.0,121.105955,26.624057,33.5,80,2023-03-14 19:47:53
