fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
24,8408636,9LU2144,KUN PENG            ,667001341,2,1.5,121.1765,25.63135,98.0,80,2023-03-07 14:20:41
89,0,BBIU5,HUIJINYI 039,413327960,1,0.30000000000000004,118.492173,24.551312,74.1,80,2023-03-07 14:21:58
125,0,BEGJ   ,ZHEN XING YOU 56    ,413570510,0,9.8,117.747927,23.690183,44.3,80,2023-03-07 14:20:40
168,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.291123,22.590457999999998,323.0,80,2023-03-07 14:20:27
169,9814571,BR4001 ,CHUNG YU NO.22      ,416005452,8,0.0,120.29741,22.579788,329.4,80,2023-03-07 14:22:56
183,,BVGH8  ,,413696450,15,0.0,118.433468,24.635692,151.8,80,2023-03-07 14:20:22
243,9268552,3FSO8,JINZHOU STAR,374061000,5,0.1,120.5105,24.279317,184.0,80,2023-03-07 14:20:56
250,,BVFG 8 ,,413699880,15,6.3,117.983062,24.450567,271.7,80,2023-03-07 14:21:00
306,,,,412703850,15,0.2,118.04072,24.42832,237.5,80,2023-03-07 14:22:53
400,0,BVCZ8  ,HAI GONG 166        ,412704020,1,0.0,118.217467,24.491745,360.0,80,2023-03-07 14:21:24
401,0,BVG08  ,HAI GONG 169        ,412704030,1,0.4,118.036573,24.429582,360.0,80,2023-03-07 14:21:12
409,9800659,3FYZ4  ,RICH RAINBOW        ,353754000,5,0.0,120.336873,22.54095,250.8,80,2023-03-07 14:20:57
414,,0000000,,413592460,15,0.0,119.547628,26.121,269.8,80,2023-03-07 14:20:48
417,0,,WAN XIN YOU 18      ,413230440,0,4.2,118.049187,24.440097,338.8,80,2023-03-07 14:22:59
425,0,BLBZ   ,HAI XIN YOU 602     ,413400630,0,10.5,118.709113,24.561292,225.1,80,2023-03-07 14:22:54
426,0,BKAQ   ,DONG HAI 302        ,413400640,0,10.7,120.602142,27.071278,30.6,80,2023-03-07 14:20:24
446,0,BISC   ,KAI SHUN YOU 57     ,412431920,5,0.0,118.430667,24.642713,360.0,80,2023-03-07 14:20:29
499,0,BSNW   ,HAI XIONG YOU 2     ,412476870,0,10.7,119.046095,24.923272,210.7,80,2023-03-07 14:21:57
509,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.04001,24.467243,172.7,80,2023-03-07 14:22:58
510,0,BVAK8  ,HAI DA 788          ,413696810,0,0.0,118.04304,24.453263,233.5,80,2023-03-07 14:22:39
511,9058684,9LU2698,AN SHUEN            ,667001895,5,0.1,120.28916,22.593137,290.0,80,2023-03-07 14:19:50
733,9213208,E5U3586,PROGRESS 10         ,518100675,5,0.0,120.165808,22.973187,246.1,80,2023-03-07 14:21:27
879,9756274,C6DW6  ,MANOLATES           ,311000803,0,13.1,120.568983,21.669007,274.8,80,2023-03-07 14:22:51
890,0,BBLQ1,YUAN MAN YOU 888,412330180,5,0.0,117.835067,24.436033,0.0,80,2023-03-07 14:22:42
891,0,BBJK,YUNTONG168,412331090,0,12.0,119.735758,25.06843,44.8,80,2023-03-07 14:22:55
956,9458494,SVDI2  ,ACHILLEAS           ,241716000,0,7.6,119.048127,24.921898,31.5,80,2023-03-07 14:22:55
1003,9796559,3FPO6  ,FS BITUMEN NO.2     ,371135000,5,0.0,120.295872,22.603887,53.3,80,2023-03-07 14:20:35
1171,9743863,BPBP4  ,SU RUI 189          ,412212220,0,13.9,118.364282,24.156348,246.5,80,2023-03-07 14:22:58
1551,9088536,3EMF5  ,SUN 10              ,374088000,2,0.1,117.131263,23.56397,148.3,80,2023-03-07 14:14:55
1629,0,BOXE5,HUA GUANG 16,412431550,0,10.2,119.572877,25.095397,60.3,80,2023-03-07 14:22:51
1823,0,BOAS4  ,MIN YOU 109         ,413211070,0,12.6,119.719138,26.091382,95.8,80,2023-03-07 14:22:54
1828,,,MINXIAMENYOU0026,413215850,15,0.1,118.038533,24.463155,251.0,80,2023-03-07 14:18:04
1845,9856476,BOGI3  ,KUN SHUN            ,413233410,1,0.1,120.143733,23.748758,202.5,80,2023-03-07 14:20:07
2002,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.037453,24.466945,0.0,80,2023-03-07 14:20:19
2005,,       ,,413695110,15,0.0,117.95896,24.456867,8.7,80,2023-03-07 14:18:56
2012,,,HAIMINGHUA168       ,413695950,15,0.0,118.036727,24.469573,259.1,80,2023-03-07 14:13:48
2014,,,SHUN ZHOU 99        ,413697050,15,0.0,118.17307,24.571158,166.3,80,2023-03-07 14:21:04
2015,,,ZHOUHAI 62,413697060,15,0.0,118.082517,24.526298,287.3,80,2023-03-07 14:19:14
2017,,,MIN XIA MEN YOU 0087,413697180,15,0.0,118.036752,24.463365,228.9,80,2023-03-07 14:19:17
2021,,BVHC8,,413697550,15,0.0,118.03752,24.46671,245.1,80,2023-03-07 14:12:28
2024,9702974,BVIT5  ,XING TONG 10        ,413697810,1,0.0,118.175222,24.365593,19.6,80,2023-03-07 14:21:34
2030,,BVHW8,,413698470,8,0.0,118.037407,24.462663,254.2,80,2023-03-07 14:19:11
2031,,,HENG YU 9           ,413698760,15,0.0,118.17964,24.618272,98.4,80,2023-03-07 14:17:45
2051,,BIBJ2  ,,413377810,15,0.0,119.81065,26.248882,131.7,80,2023-03-07 14:22:45
2052,9799226,BICK4  ,DING HENG 16        ,413379810,0,10.4,118.962125,24.792153,42.4,80,2023-03-07 14:14:51
2197,0,BODO5  ,ZHEN YANG 28        ,413445480,0,11.1,119.459672,24.949418,79.8,80,2023-03-07 14:22:55
2199,0,BKPH6,YI DA 7,413447410,1,0.2,119.110117,24.989795,27.0,80,2023-03-07 14:20:05
2205,0,BOCM4  ,ZHE  ZHOU  YOU  498 ,413460130,0,9.1,120.197693,25.932,334.1,80,2023-03-07 14:22:59
2209,0,,SHAN QING 5 ,413470870,0,0.0,117.108432,23.559835,136.5,80,2023-03-07 14:16:57
2212,9780823,BYKK   ,HENG   YU   93      ,413479290,0,11.4,119.011567,24.644452,228.4,80,2023-03-07 14:15:52
2216,9509841,BIIG   ,DING HENG 5         ,413255730,5,0.0,120.51099,24.280507,326.3,80,2023-03-07 14:20:21
2228,0,BVWX7  ,HUALONGYOU1         ,412704730,1,0.0,119.856898,26.322445,360.0,80,2023-03-07 14:22:03
2239,0,BKQS5,GUO YANG 79,412763650,1,0.0,118.5309,24.490517,36.6,80,2023-03-07 14:22:43
2272,0,BQ3019,CHUNG YU NO1,416000120,1,0.0,120.520237,24.286668,340.6,80,2023-03-07 14:21:07
2420,9790232,9V3706 ,PINZA               ,563043900,0,13.4,121.282177,21.150353,237.2,80,2023-03-07 14:22:54
2426,0,BFBM9  ,ZHONG HAI YOU 668   ,413305640,5,0.0,119.608173,26.150643,93.0,80,2023-03-07 14:17:59
2434,0,_      ,HUA GUANG 95        ,413466770,0,1.1,119.016533,25.043543,298.2,80,2023-03-07 14:21:39
2437,,,,413700790,15,0.1,118.037278,24.464147,136.2,80,2023-03-07 14:18:14
2478,9859090,BTYC   ,NAN LIAN 002        ,414350120,0,11.0,118.560498,24.237468,229.5,80,2023-03-07 14:22:50
2600,9186273,3EQU6  ,JM SCORPIO          ,357057000,0,0.0,120.481175,24.267267,78.2,80,2023-03-07 14:22:56
2603,0,BVFR8,HAIDA988,412705360,1,0.1,118.043843,24.426528,32.4,80,2023-03-07 14:17:32
2666,9777371,LADF8  ,BOW PALLADIUM       ,257246000,5,0.0,120.179198,23.79662,27.7,80,2023-03-07 14:14:16
2672,9531351,BR4317 ,TONG YEA NO.9       ,416006175,0,0.0,120.286035,22.597487,350.1,80,2023-03-07 14:22:51
2681,9792008,D5MM9  ,SOUTHERN PUMA       ,636017741,5,0.1,120.170465,23.776703,95.5,80,2023-03-07 14:20:15
2692,8910639,BNCB   ,TONG YEA NO.3       ,416124900,0,0.0,121.387413,25.157267,360.0,80,2023-03-07 14:22:47
2765,9732814,V7OE9  ,TRF MONGSTAD        ,538006544,1,0.0,120.069797,23.777607,260.8,80,2023-03-07 14:14:12
2780,,,MIN XIA MEN YOU 0060,412459660,0,0.0,118.037227,24.462638,158.3,80,2023-03-07 14:11:36
2825,9424077,BIOY   ,DING HENG 17        ,413371050,1,0.0,119.18275,24.942107,92.6,80,2023-03-07 14:19:14
2826,0,BIQA   ,DONG CHENG YOU 17   ,413371120,0,8.6,120.59671,26.670142,211.6,80,2023-03-07 14:22:55
2919,9589982,BHDA   ,DER YUN             ,416460000,5,0.0,120.171073,23.776812,168.9,80,2023-03-07 14:22:27
3001,,,JIN HAI SHUN 9,413694720,15,8.8,117.998533,24.444367,104.9,80,2023-03-07 14:20:03
3027,9860752,D5VB8  ,MORNING SPARROW     ,636019564,0,9.8,120.166843,22.559328,169.2,80,2023-03-07 14:22:55
3037,9872418,----   ,RUI GAO CHENG XIN   ,414404130,0,10.4,118.211267,23.981218,52.3,80,2023-03-07 14:22:51
3082,9853527,9V6710 ,MARITIME GRACIOUS   ,563128800,1,0.1,120.219028,22.585058,108.4,80,2023-03-07 14:20:15
3143,0,BHOW,JIXIANG6,413444190,5,0.0,118.430313,24.641518,247.2,80,2023-03-07 14:22:20
3182,9616383,3WIA9  ,VP ASPHALT 1        ,574001620,1,0.30000000000000004,120.114652,23.719753,255.4,80,2023-03-07 14:22:28
3218,,,WO SHUN,667001839,15,0.0,120.43277,24.639293,23.3,80,2023-03-07 14:18:49
3300,926677400,T2RI5  ,EVER VICTORY        ,572439220,2,1.2,121.80764,25.892343,63.0,80,2023-03-07 14:22:58
3318,0,BSIA3  ,JIAO YUN YOU 169    ,413381070,5,0.0,117.995145,24.449697,62.3,80,2023-03-07 14:13:02
3546,9509035,BPCH   ,BEI HAI ZHAN WANG   ,413281000,0,11.5,117.891655,23.550762,47.5,80,2023-03-07 14:22:15
3621,9351440,V7DA7  ,BELLINI             ,538005358,1,0.0,118.177883,24.3528,106.0,80,2023-03-07 14:21:17
3656,9166936,BOEP   ,BAI HUA YUAN        ,413275930,0,12.1,119.099025,24.589037,244.4,80,2023-03-07 14:19:32
3778,9820063,SSD,CHUNG YU16,416005473,15,0.0,120.301737,22.584872,92.4,80,2023-03-07 14:22:59
3779,9820075,BR4010 ,CHUNG YU NO.18      ,416005474,15,0.0,121.743293,25.140202,360.0,80,2023-03-07 14:22:51
3780,9820087,BR4011 ,CHUNG YU NO.19      ,416005475,0,0.1,121.74336,25.140187,208.2,80,2023-03-07 14:22:58
3848,9566356,BHFC   ,TONG YUN            ,416450000,5,0.0,121.63156,23.985415,319.9,80,2023-03-07 14:21:25
3874,,BR3218 ,,416001858,15,9.1,120.387687,22.33773,59.0,80,2023-03-07 14:22:51
4005,9801976,V7HZ5  ,PROMETHEUS LIGHT    ,538008103,0,10.6,119.711552,22.37536,214.0,80,2023-03-07 14:22:54
4007,9485849,DUKS   ,GT STAR             ,548994000,0,12.7,116.976082,22.809253,240.3,80,2023-03-07 14:22:05
4062,9727015,V7NH3  ,SEAWAYS HENDRICKS   ,538006446,5,0.1,120.288625,22.492148,223.4,80,2023-03-07 14:21:19
4068,9190602,9LU2101,CHERRY 168          ,667001298,0,9.8,120.549973,24.582663,215.9,80,2023-03-07 14:22:57
