fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
25,9134294,V3IJ2  ,ECHO STAR           ,312868000,5,0.1,117.131272,23.564007,113.2,80,2023-03-23 15:16:58
30,8408636,9LU2144,KUN PENG            ,667001341,2,2.8,122.042107,26.108202,148.1,80,2023-03-23 15:26:50
63,9458834,V7FR7  ,UACC RIYADH         ,538005650,0,15.0,120.908882,26.12212,35.0,80,2023-03-23 15:27:17
65,0,BLBZ   ,HAI XIN YOU 602     ,413400630,1,0.30000000000000004,118.121482,24.393823,235.2,80,2023-03-23 15:25:54
66,0,BKAQ   ,DONG HAI 302        ,413400640,0,11.1,120.213485,26.56446,43.1,80,2023-03-23 15:27:20
97,9457531,D5AY9  ,FPMC C ORIENT       ,636015472,0,14.6,117.738072,19.168637,214.0,80,2023-03-23 15:16:49
98,9595228,D5BA6  ,DALIAN              ,636015484,0,10.0,122.633942,23.05944,14.6,80,2023-03-23 15:27:17
123,,BVGH8  ,,413696450,15,0.2,118.433432,24.63569,71.1,80,2023-03-23 15:22:00
192,9630444,V7ZA6  ,BLUE ARROW          ,538004779,5,0.0,121.861823,24.594195,222.9,80,2023-03-23 15:24:40
219,0,BOAC7  ,DA AN 38            ,413212970,5,0.0,118.982888,25.169077,11.8,80,2023-03-23 15:26:05
247,0,0      ,DONG  FANG  59      ,413358250,0,7.4,120.460653,26.898588,221.9,80,2023-03-23 15:27:13
307,0,,HAI DA 868,412703850,15,0.0,118.397433,24.543817,143.1,80,2023-03-23 15:27:12
310,0,BVAQ8,HAI ZHI XING 168,412703930,1,0.2,117.54932,23.72181,221.5,80,2023-03-23 15:25:12
338,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.332802,22.54025,153.9,80,2023-03-23 15:24:38
369,9539523,D5GB7  ,MORNING IBIS        ,636016413,0,13.3,122.317172,21.65882,53.9,80,2023-03-23 15:21:43
424,0,BVCZ8  ,HAI GONG 166        ,412704020,0,0.1,118.034293,24.430998,360.0,80,2023-03-23 15:27:09
425,0,BVG08  ,HAI GONG 169        ,412704030,1,0.0,118.039373,24.429965,360.0,80,2023-03-23 15:27:05
429,9415038,3EVI5  ,JOY CHEMIST         ,353904000,0,13.3,118.8868,24.174483,228.0,80,2023-03-23 15:27:11
457,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.039892,24.46681,265.9,80,2023-03-23 15:15:05
458,9058684,9LU2698,AN SHUEN            ,667001895,2,0.4,120.273973,22.187912,219.6,80,2023-03-23 15:27:17
468,9377418,A8VF4  ,ALEXANDER THE GREAT ,636014598,0,14.9,121.617158,21.070588,219.2,80,2023-03-23 15:27:06
486,9404833,C6WZ6  ,SUMMIT SPIRIT       ,309022000,0,10.7,121.43007,21.09577,237.1,80,2023-03-23 15:24:20
490,0,BOGX5,JIN WANG YOU 17,413235570,0,4.9,119.086677,24.989302,286.6,80,2023-03-23 15:27:16
662,9547520,H3UD   ,AKANE               ,353172000,0,11.9,122.136417,26.86045,223.0,80,2023-03-23 15:23:29
785,9352145,9HA5785,SONGA KARI ,256291000,0,9.9,120.791,21.5778,242.0,80,2023-03-23 15:27:16
834,9349942,C6WM7  ,SUN ARROWS          ,309296000,0,11.9,120.491073,21.271047,161.0,80,2023-03-23 15:26:48
1005,9403645,3EXZ   ,TAITAR NO.2         ,372307000,0,15.7,119.768978,22.792672,192.1,80,2023-03-23 15:27:20
1623,9627734,BICH9  ,JIU LONG 7          ,412380880,0,0.0,118.919187,25.05714,293.7,80,2023-03-23 15:27:17
1631,9686780,BRVY   ,ZHONG WEI 6         ,412476930,5,0.0,117.49817,23.757533,157.3,80,2023-03-23 15:19:07
1654,0,BOAA8  ,YUAN XIANG 9        ,413212540,0,10.5,118.99328,24.685388,47.9,80,2023-03-23 15:27:04
1766,0,BPBW9  ,MIN YOU 101         ,412459770,0,5.6,119.500333,26.028333,216.3,80,2023-03-23 15:27:16
1874,0,BPCO8,ZHENYANG18,412438370,1,0.1,119.045233,25.021167,128.4,80,2023-03-23 15:26:24
1967,9513488,BKUM4  ,LI HUA 28           ,413523000,0,10.3,120.622142,26.672545,217.1,80,2023-03-23 15:27:14
1974,0,BTSK   ,NING SHEN HAI YOU 9 ,413556860,0,11.1,117.080123,23.099207,245.7,80,2023-03-23 15:26:34
2009,,       ,,413695110,15,0.0,118.227187,24.531588,188.2,80,2023-03-23 15:27:16
2010,,,,413695530,15,0.0,118.037813,24.46374,106.2,80,2023-03-23 15:25:34
2016,,,HAIMINGHUA168       ,413695950,15,0.0,118.036315,24.469493,153.8,80,2023-03-23 15:26:42
