fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
25,9134294,V3IJ2  ,ECHO STAR           ,312868000,5,0.0,117.131285,23.564007,278.9,80,2023-03-23 11:34:57
122,,,HAI DA 868,412703850,15,0.0,118.03785,24.427767,201.7,80,2023-03-23 11:41:16
123,,       ,,412703890,15,1.4,118.041515,24.455247,343.2,80,2023-03-23 11:38:43
125,0,BVAQ8,HAI ZHI XING 168,412703930,1,0.1,117.550843,23.721808,136.3,80,2023-03-23 11:31:10
158,0,BVCZ8  ,HAI GONG 166        ,412704020,0,0.0,117.986907,24.45142,360.0,80,2023-03-23 11:34:42
159,0,BVG08  ,HAI GONG 169        ,412704030,1,0.1,118.03768,24.430657,360.0,80,2023-03-23 11:41:14
163,9415038,3EVI5  ,JOY CHEMIST         ,353904000,0,11.2,119.49635,24.682367,231.0,80,2023-03-23 11:42:12
184,9458834,V7FR7  ,UACC RIYADH         ,538005650,0,15.0,120.34723,25.35048,50.6,80,2023-03-23 11:42:13
185,0,BLBZ   ,HAI XIN YOU 602     ,413400630,1,0.0,118.119442,24.395188,271.3,80,2023-03-23 11:40:43
186,0,BKAQ   ,DONG HAI 302        ,413400640,0,10.1,119.796318,26.081898,100.0,80,2023-03-23 11:42:20
254,0,BBIU5,HUIJINYI 039,413327960,1,0.1,116.847282,23.2472,173.7,80,2023-03-23 11:39:07
309,,BVFG 8 ,,413699880,15,0.0,118.037707,24.467078,236.4,80,2023-03-23 11:41:54
312,9630444,V7ZA6  ,BLUE ARROW          ,538004779,5,0.0,121.86174,24.59416,222.9,80,2023-03-23 11:39:40
337,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.300805,22.584475,42.7,80,2023-03-23 11:40:40
370,0,BOGX5,JIN WANG YOU 17,413235570,1,0.0,119.094242,24.989452,142.7,80,2023-03-23 11:32:34
376,9595228,D5BA6  ,DALIAN              ,636015484,0,11.4,122.372383,22.354747,23.9,80,2023-03-23 11:42:13
417,,       ,,412431810,15,11.9,117.475827,23.568085,47.5,80,2023-03-23 11:33:24
428,9539523,D5GB7  ,MORNING IBIS        ,636016413,0,12.5,121.628583,21.156125,43.6,80,2023-03-23 11:42:13
606,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.04,24.467253,226.3,80,2023-03-23 11:42:13
607,0,BVAK8  ,HAI DA 788          ,413696810,1,0.30000000000000004,118.033973,24.428813,56.4,80,2023-03-23 11:40:16
608,9058684,9LU2698,AN SHUEN            ,667001895,2,0.30000000000000004,120.273947,22.193893,123.5,80,2023-03-23 11:42:16
617,9377418,A8VF4  ,ALEXANDER THE GREAT ,636014598,0,14.7,122.157493,21.814807,203.3,80,2023-03-23 11:42:21
801,,0000000,,413592460,15,0.0,119.547622,26.120932,284.3,80,2023-03-23 11:36:16
899,9403645,3EXZ   ,TAITAR NO.2         ,372307000,0,10.5,119.878798,23.658162,186.8,80,2023-03-23 11:42:16
1235,9352145,9HA5785,SONGA KARI ,256291000,0,9.7,121.2633,21.960133,207.0,80,2023-03-23 11:42:23
1729,,BIBI9  ,,413377790,15,0.2,119.79267,26.264508,51.0,80,2023-03-23 11:41:00
1752,0,BPBW9  ,MIN YOU 101         ,412459770,0,5.6,119.805813,25.978418,324.0,80,2023-03-23 11:42:17
1764,9449338,BMKA,DONG GUI 8,413501020,0,9.9,118.968615,24.811483,218.6,80,2023-03-23 11:41:19
1774,9513488,BKUM4  ,LI HUA 28           ,413523000,0,11.3,121.04864,27.203468,212.0,80,2023-03-23 11:40:18
1782,0,BTSK   ,NING SHEN HAI YOU 9 ,413556860,0,9.2,117.661753,23.45745,231.7,80,2023-03-23 11:33:57
1794,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.037293,24.467047,0.0,80,2023-03-23 11:40:06
1797,,       ,,413695110,15,0.0,118.22728,24.531603,290.9,80,2023-03-23 11:42:16
1798,,,,413695530,15,0.0,118.0372,24.46447,151.7,80,2023-03-23 11:37:34
1803,,,JINHAISHUN3         ,413695940,15,0.0,118.03984,24.43018,357.5,80,2023-03-23 11:35:21
1804,,BVHL8  ,,413695950,15,0.0,118.03679,24.46987,153.8,80,2023-03-23 11:41:05
1806,,,SHUN ZHOU 99        ,413697050,15,0.0,118.192558,24.560918,0.0,80,2023-03-23 11:40:30
1809,,,MIN XIA MEN YOU 0087,413697180,15,0.0,118.0367,24.463733,244.0,80,2023-03-23 11:37:47
1812,,BVHC8,,413697550,15,0.1,118.037527,24.466883,323.7,80,2023-03-23 11:31:58
1813,9702974,BVIT5  ,XING TONG 10        ,413697810,1,0.0,118.18266,24.358477,127.1,80,2023-03-23 11:39:50
1818,0,BVHW8  ,HAI GONG 167        ,413698470,8,0.0,118.03696,24.46281,88.3,80,2023-03-23 11:40:58
1819,,,HENG YU 9           ,413698760,15,0.0,118.179002,24.617672,130.5,80,2023-03-23 11:41:50
1849,0,BOAA8  ,YUAN XIANG 9        ,413212540,0,11.1,118.44404,24.27634,57.1,80,2023-03-23 11:42:19
1904,0,BQ3019,CHUNG YU NO1,416000120,1,0.0,120.519125,24.286682,51.7,80,2023-03-23 11:42:07
1970,,BIBJ2  ,,413377810,15,0.1,119.820727,26.231148,234.2,80,2023-03-23 11:37:34
1975,0,,CHANGRUN58          ,413404840,5,0.0,120.63832,27.740952,324.9,80,2023-03-23 11:40:57
1976,0,BLGO3  ,ZHONG HAI YOU 698   ,413405390,0,7.2,119.86568,26.121363,349.2,80,2023-03-23 11:42:14
1978,0,BOBV7,SHUN KAI 83,413407960,1,0.1,117.546883,23.7157,0.0,80,2023-03-23 11:41:39
1983,0,       ,YONGFENGDA98,413427230,0,8.7,117.191363,23.411718,66.9,80,2023-03-23 11:37:46
2022,9440538,V7AI9  ,KRITI JOURNEY       ,538005006,0,11.5,120.578765,20.240853,231.0,80,2023-03-23 11:39:58
2028,0,BFBM9  ,ZHONG HAI YOU 668   ,413305640,0,7.9,119.866587,26.262273,52.7,80,2023-03-23 11:42:19
2049,0,BKTI5,KAI FENG 17,413445240,5,0.0,118.431105,24.64449,0.0,80,2023-03-23 11:41:02
2050,9646479,BKNM6,HUITONG78,413445560,1,0.0,119.000988,24.634972,297.9,80,2023-03-23 11:32:42
2052,0,BKPH6,YI DA 7,413447410,1,0.5,119.799828,25.979858,52.7,80,2023-03-23 11:38:12
2056,1400704,BLEO   ,XIN HANG 301        ,413451370,5,0.0,120.68772,27.698777,304.0,80,2023-03-23 11:30:55
2071,0,,SHAN QING 5 ,413470870,0,0.0,117.109452,23.56018,345.5,80,2023-03-23 11:36:12
2079,0,BVFR8,HAIDA988,412705360,1,0.0,118.039668,24.422668,334.2,80,2023-03-23 11:41:14
2081,9127667,HP7673 ,EXUBERANT STAR      ,371997000,0,13.3,120.678775,21.513858,70.2,80,2023-03-23 11:42:16
2117,8021115,BR3124,KING HUNG NO.2,416000126,0,0.0,120.324575,22.573747,0.0,80,2023-03-23 11:42:22
2135,0,BPCX9  ,XIN XIANG TAI       ,412378820,0,11.0,119.848773,26.056137,177.3,80,2023-03-23 11:42:21
2141,9531351,BR4317 ,TONG YEA NO.9       ,416006175,0,0.0,120.292032,22.592973,138.0,80,2023-03-23 11:42:21
2161,9686780,BRVY   ,ZHONG WEI 6         ,412476930,1,0.1,117.552732,23.714738,173.2,80,2023-03-23 11:35:52
2189,9416654,BPAH   ,XIN SHEN YANG       ,413183000,0,14.3,122.803118,25.319032,23.9,80,2023-03-23 11:39:55
2221,0,,HUA YOU 198         ,413332430,0,9.2,120.279045,26.183283,30.1,80,2023-03-23 11:42:14
2290,0,_      ,HUA GUANG 95        ,413466770,0,7.8,119.058187,24.942717,202.0,80,2023-03-23 11:39:09
2292,,,,413700790,0,0.1,118.037292,24.464485,360.0,80,2023-03-23 11:35:09
2360,0,BKWF3,DA QING 739,413404390,1,0.1,118.531175,24.528897,212.1,80,2023-03-23 11:41:23
2405,0,,HUA JUN YOU 369     ,413511130,5,0.0,119.488155,26.020408,216.6,80,2023-03-23 11:34:34
2519,9411032,V7AE4  ,SEAWAYS RAFFLES     ,538002295,0,13.1,119.671128,20.531627,78.6,80,2023-03-23 11:42:02
2550,,,MIN XIA MEN YOU 0060,412459660,15,0.0,118.037098,24.462947,178.4,80,2023-03-23 11:41:52
2573,9166962,3EVT9  ,JM ARIES            ,374974000,5,0.0,120.507385,24.271965,206.9,80,2023-03-23 11:41:23
2602,9859246,H3MS   ,GOLDEN BETELGEUSE   ,370679000,0,13.1,115.015117,19.319655,70.8,80,2023-03-23 11:41:43
2665,0,,YONGFENGDA18,413417630,1,0.1,118.041583,24.42585,0.0,80,2023-03-23 11:37:47
2743,9334210,3ENL6  ,IDEMITSU MARU       ,353841000,4,11.2,120.712717,20.443862,32.4,80,2023-03-23 11:42:16
2749,,,JIN HAI SHUN 9,413694720,15,0.0,118.039817,24.430017,15.7,80,2023-03-23 11:39:05
2759,0,BUID   ,HUASHUN 298         ,413593680,0,12.1,118.201278,24.025748,57.9,80,2023-03-23 11:42:13
2843,9363869,3ETR3  ,BAY YASU            ,370646000,5,0.0,120.170515,23.776633,332.1,80,2023-03-23 11:35:04
2956,0,BHOW   ,JI  XIANG  6        ,413444190,1,0.0,118.114293,24.401623,360.0,80,2023-03-23 11:41:26
3012,,9LU2642,,667001839,15,0.0,119.185472,22.87685,76.0,80,2023-03-23 11:40:27
3049,9760768,9V5057 ,MARVEL FALCON       ,563048500,0,14.5,120.137422,20.167807,233.5,80,2023-03-23 11:42:20
3075,0,BOQK2  ,LIAN HAI 902        ,413282930,0,9.7,120.322517,26.273867,22.9,80,2023-03-23 11:42:23
3082,9171175,UENV ,CILICIA,273436640,0,1.5,120.486095,24.484683,46.3,80,2023-03-23 11:42:21
3205,9865532,DXIP   ,EVA USUKI           ,548651000,0,15.1,120.810763,21.427755,33.2,80,2023-03-23 11:42:21
3402,9882891,V7A4495,SASANQUA            ,538009241,0,13.6,119.835808,22.922077,13.7,80,2023-03-23 11:42:15
3651,9820063,SSD,CHUNG YU16,416005473,15,0.0,120.30171,22.584962,8.0,80,2023-03-23 11:42:21
3652,9820075,BR4010 ,CHUNG YU NO.18      ,416005474,15,0.0,121.743347,25.140325,360.0,80,2023-03-23 11:42:20
3653,9820087,BR4011 ,CHUNG YU NO.19      ,416005475,0,0.0,121.743373,25.140223,340.2,80,2023-03-23 11:42:20
3673,,,LUHAIXING66,413699970,15,0.0,118.038333,24.46323,152.5,80,2023-03-23 11:39:57
3709,9446257,VREB4  ,CHEMITEC            ,477081300,0,11.8,121.492133,27.21725,233.1,80,2023-03-23 11:42:09
3710,9379715,VRNV8  ,NEW DRAGON          ,477127300,0,11.5,120.847468,21.528172,211.4,80,2023-03-23 11:42:22
3717,9358280,D5VY3  ,NOBLE               ,636019743,0,12.6,122.654982,24.210517,188.9,80,2023-03-23 11:42:16
3737,9566356,BHFC   ,TONG YUN            ,416450000,5,0.0,121.626237,23.978062,225.7,80,2023-03-23 11:38:35
3748,9489065,V7T08,NCC MASAFI,538003848,5,0.0,118.04371,24.452372,94.6,80,2023-03-23 11:39:27
3754,9594896,V7NE9  ,FLAGSHIP TULIP      ,538006441,0,13.9,120.141783,24.157325,32.5,80,2023-03-23 11:42:23
3755,9718832,V7NT9  ,KHASAB SILVER       ,538006507,0,13.1,122.919182,23.556308,198.3,80,2023-03-23 11:42:16
3756,9772034,V7DH2  ,PACIFIC SARAH       ,538007361,0,14.1,119.341493,18.793508,40.0,80,2023-03-23 11:31:32
3813,9672820,VRPI2  ,CESI GLADSTONE      ,477348600,0,16.0,117.118678,21.395857,125.8,80,2023-03-23 11:42:17
3814,9278519,VRTJ3  ,WIN SINO            ,477591900,0,13.1,119.042167,24.19829,49.6,80,2023-03-23 11:37:44
3820,8801759,9LU2185,SJMARINER 1,667001382,0,3.6,119.886845,23.65485,183.1,80,2023-03-23 11:42:14
3823,9186716,9LU2271,AQUARIUS,667001468,5,0.0,119.705712,26.803543,271.4,80,2023-03-23 11:31:34
3824,8688717,9LU2373,MAGIC STAR,667001570,1,0.1,120.250525,22.576102,360.0,80,2023-03-23 11:41:48
3825,9078919,9LU2588,WAH SHUN            ,667001785,8,9.1,115.644563,21.064895,234.9,80,2023-03-23 11:39:48
3827,9102813,9LU2732,EVER GLORY          ,667001929,0,8.5,119.005467,20.61322,35.4,80,2023-03-23 11:41:08
3828,8401406,9LY2219,GOLDEN PROSPEROUS,667003022,0,8.7,120.209013,22.55812,19.1,80,2023-03-23 11:42:20
4199,0,BOZM8  ,YIDING6             ,413443590,0,9.0,119.92656,26.264718,34.9,80,2023-03-23 11:42:14
4205,9831701,D5RC5  ,FPMC 32             ,636018724,5,0.0,120.339295,22.541852,196.2,80,2023-03-23 11:41:48
4226,0,BOKS7  ,HAI GONG 198        ,413480560,5,0.0,118.0348,24.428093,360.0,80,2023-03-23 11:40:22
4265,9788875,3EFY2  ,CARIBBEAN GLORY     ,371915000,0,11.7,122.32456,24.315987,204.7,80,2023-03-23 11:42:03
4267,,,MIN XIA MEN YOU 0099,413698930,15,0.0,118.037398,24.462027,174.8,80,2023-03-23 11:32:47
4352,9337195,A8QN6  ,FPMC C HONOR        ,636013971,0,12.9,119.91272,22.61216,0.8,80,2023-03-23 11:42:15
4435,9708150,V7MC3  ,STI LOMBARD         ,538006344,5,0.0,117.578268,23.73845,324.4,80,2023-03-23 11:36:39
4462,9749104,V7EX8  ,OC GRANDE           ,538006909,0,10.8,121.713193,22.637367,205.3,80,2023-03-23 11:42:15
4486,9871074,9V6099 ,THERESA II          ,563083200,5,0.0,120.172588,22.970953,283.0,80,2023-03-23 11:37:02
4488,,,HAI DA 968,413697210,1,0.0,118.038383,24.425367,25.6,80,2023-03-23 11:41:46
4491,9389772,VRFR6  ,XIN YUE YANG        ,477595500,0,0.8,116.582448,22.801457,104.3,80,2023-03-23 11:42:15
4503,9515319,BOMU8  ,XING TONG 719       ,413260520,0,12.9,118.909497,24.563418,225.4,80,2023-03-23 11:42:23
4541,0,BOAF9,TIAN YI 5           ,413363930,0,9.1,119.919183,26.220903,29.1,80,2023-03-23 11:42:16
4571,0,BOOD3  ,HAI DA 569          ,413269050,1,0.0,118.0418,24.428395,223.4,80,2023-03-23 11:40:49
4573,9060613,BKAO   ,NEW ENERGY          ,416195000,0,9.0,120.355773,22.224012,150.6,80,2023-03-23 11:42:16
4632,9919149,BR4506 ,TAI HONG            ,416007195,5,0.0,120.519148,24.286618,7.4,80,2023-03-23 11:39:34
4646,,BVHK8  ,,413697960,0,0.0,118.18948,24.565567,228.9,80,2023-03-23 11:40:47
4669,,       ,,413694390,15,0.0,118.037205,24.465317,205.6,80,2023-03-23 11:35:29
4712,0,BQGQ   ,BAI TONG 21         ,413331840,0,9.2,121.162213,27.34112,35.2,80,2023-03-23 11:32:35
4776,0,BOTC4  ,JI SHUN 168         ,413295630,0,12.7,118.912123,24.639232,54.0,80,2023-03-23 11:33:04
4800,9318618,BNIO   ,FORMOSAGAS CRYSTAL  ,416477000,1,0.0,120.122895,23.78079,327.6,80,2023-03-23 11:38:55
4841,9198082,3E3562 ,GIOIOSA             ,352980833,0,11.5,120.909337,21.576618,31.8,80,2023-03-23 11:42:19
4874,,,TONG HAI YOU 9      ,413699030,15,1.9,118.04036,24.426913,347.2,80,2023-03-23 11:37:49
4903,9318682,9V2480 ,YOU SHEN 8          ,564146000,1,0.0,120.505667,24.265545,147.6,80,2023-03-23 11:40:06
4950,0,BSXI   ,SHEN KAI 2,413381590,0,9.9,119.450298,25.032887,245.8,80,2023-03-23 11:40:03
5024,9389019,SWCI   ,MARAN CAPRICORN     ,240755000,0,11.3,119.0233,24.360283,345.0,80,2023-03-23 11:42:11
