fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
24,9134294,V3IJ2  ,ECHO STAR           ,312868000,5,0.0,117.131298,23.564013,156.7,80,2023-03-23 18:16:57
27,8408636,9LU2144,KUN PENG            ,667001341,0,5.5,121.865493,26.136558,288.3,80,2023-03-23 18:18:14
52,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,7.7,120.301483,22.57865,333.2,80,2023-03-23 18:18:05
62,9458834,V7FR7  ,UACC RIYADH         ,538005650,0,14.3,121.375065,26.656822,64.7,80,2023-03-23 18:09:42
64,0,BLBZ   ,HAI XIN YOU 602     ,413400630,1,0.0,118.121668,24.394167,13.0,80,2023-03-23 18:16:43
65,0,BKAQ   ,DONG HAI 302        ,413400640,0,9.8,120.521003,26.984988,27.1,80,2023-03-23 18:18:07
91,9595228,D5BA6  ,DALIAN              ,636015484,0,10.1,122.712042,23.534955,359.3,80,2023-03-23 18:18:16
124,9404833,C6WZ6  ,SUMMIT SPIRIT       ,309022000,0,12.2,120.915872,20.907592,268.5,80,2023-03-23 18:18:20
129,0,BOGX5,JIN WANG YOU 17,413235570,5,0.1,119.016752,25.045437,187.6,80,2023-03-23 18:16:03
166,0,BVCZ8  ,HAI GONG 166        ,412704020,1,0.0,118.034227,24.431153,360.0,80,2023-03-23 18:15:58
167,0,BVG08  ,HAI GONG 169        ,412704030,1,0.1,118.03928,24.430343,360.0,80,2023-03-23 18:18:09
171,9415038,3EVI5  ,JOY CHEMIST         ,353904000,0,12.7,118.375583,23.7577,222.0,80,2023-03-23 18:18:22
182,,BVGH8  ,,413696450,15,0.0,118.433223,24.635705,309.7,80,2023-03-23 18:15:59
253,9630444,V7ZA6  ,BLUE ARROW          ,538004779,5,0.0,121.861785,24.594193,222.9,80,2023-03-23 18:15:43
312,,,HAI DA 868,412703850,15,8.2,118.380983,24.523633,218.7,80,2023-03-23 18:18:02
313,,       ,,412703890,15,1.4,118.04157,24.455283,117.8,80,2023-03-23 18:16:02
315,0,BVAQ8,HAI ZHI XING 168,412703930,1,0.1,117.550712,23.72183,123.8,80,2023-03-23 18:13:09
343,0,BOAC7  ,DA AN 38            ,413212970,5,0.0,118.982923,25.169052,11.8,80,2023-03-23 18:17:10
351,9897664,BOGJ4  ,XIN SHEN TONG 189   ,413233740,0,12.2,118.480773,24.326547,41.0,80,2023-03-23 18:18:06
360,,       ,,412431810,15,9.5,118.332352,24.216025,56.2,80,2023-03-23 18:18:03
