fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
26,0,BBIU5,HUIJINYI 039,413327960,1,0.2,118.492555,24.551448,43.8,80,2023-03-07 14:27:55
67,,BVFG 8 ,,413699880,15,6.3,117.983062,24.450567,271.7,80,2023-03-07 14:21:00
104,0,BVCZ8  ,HAI GONG 166        ,412704020,1,0.0,118.217467,24.491748,360.0,80,2023-03-07 14:27:31
105,0,BVG08  ,HAI GONG 169        ,412704030,1,0.1,118.036813,24.429562,360.0,80,2023-03-07 14:27:10
123,0,BEGJ   ,ZHEN XING YOU 56    ,413570510,0,9.8,117.747927,23.690183,44.3,80,2023-03-07 14:20:40
182,0,BLBZ   ,HAI XIN YOU 602     ,413400630,0,10.6,118.697855,24.550862,220.6,80,2023-03-07 14:27:54
183,0,BKAQ   ,DONG HAI 302        ,413400640,0,10.8,120.614167,27.087607,33.7,80,2023-03-07 14:26:53
205,0,BISC   ,KAI SHUN YOU 57     ,412431920,5,0.0,118.430667,24.642713,360.0,80,2023-03-07 14:20:29
269,8408636,9LU2144,KUN PENG            ,667001341,2,1.5,121.177987,25.631213,97.9,80,2023-03-07 14:23:41
304,,BVGH8  ,,413696450,15,0.0,118.433465,24.635678,56.2,80,2023-03-07 14:26:22
348,9268552,3FSO8,JINZHOU STAR,374061000,5,0.1,120.5108,24.279167,163.0,80,2023-03-07 14:26:55
399,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.29112,22.590417,322.9,80,2023-03-07 14:26:30
400,9814571,BR4001 ,CHUNG YU NO.22      ,416005452,8,0.0,120.297415,22.579752,325.3,80,2023-03-07 14:27:56
410,9800659,3FYZ4  ,RICH RAINBOW        ,353754000,5,0.0,120.336862,22.540942,250.8,80,2023-03-07 14:26:57
415,,0000000,,413592460,15,0.0,119.547628,26.121,269.8,80,2023-03-07 14:20:48
418,0,,WAN XIN YOU 18      ,413230440,0,3.5,118.046427,24.445207,336.1,80,2023-03-07 14:27:54
426,0,,HAI DA 868,412703850,15,0.0,118.040733,24.428328,243.3,80,2023-03-07 14:25:43
428,,       ,,412703890,15,1.4,118.041513,24.455237,132.7,80,2023-03-07 14:22:45
429,0,BVAQ8,HAI ZHI XING 168,412703930,1,0.5,117.547952,23.719788,171.7,80,2023-03-07 14:25:46
578,0,BSNW   ,HAI XIONG YOU 2     ,412476870,0,10.7,119.046095,24.923272,210.7,80,2023-03-07 14:21:57
623,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.04001,24.467248,172.7,80,2023-03-07 14:25:21
624,0,BVAK8  ,HAI DA 788          ,413696810,0,0.0,118.043067,24.453272,212.5,80,2023-03-07 14:27:28
625,9058684,9LU2698,AN SHUEN            ,667001895,5,0.1,120.289147,22.59312,290.0,80,2023-03-07 14:25:53
685,9213208,E5U3586,PROGRESS 10         ,518100675,5,0.0,120.165818,22.9732,222.8,80,2023-03-07 14:27:27
1237,9756274,C6DW6  ,MANOLATES           ,311000803,0,13.2,120.549372,21.670422,274.0,80,2023-03-07 14:27:52
1324,9743863,BPBP4  ,SU RUI 189          ,412212220,0,13.9,118.345225,24.14882,246.1,80,2023-03-07 14:27:52
1545,9458494,SVDI2  ,ACHILLEAS           ,241716000,0,6.3,119.052462,24.929733,25.9,80,2023-03-07 14:27:25
1549,0,BBLQ1,YUAN MAN YOU 888,412330180,5,0.0,117.835067,24.436033,0.0,80,2023-03-07 14:22:42
1550,0,BBJK,YUNTONG168,412331090,0,12.0,119.748802,25.080087,45.9,80,2023-03-07 14:27:55
1709,0,BOXE5,HUA GUANG 16,412431550,0,10.2,119.586178,25.101887,61.6,80,2023-03-07 14:27:43
1784,0,BOAS4  ,MIN YOU 109         ,413211070,0,12.7,119.738678,26.088827,98.8,80,2023-03-07 14:27:54
1791,,,MINXIAMENYOU0026,413215850,0,0.1,118.03852,24.463153,98.7,80,2023-03-07 14:24:44
1848,0,BVWX7  ,HUALONGYOU1         ,412704730,1,0.0,119.856918,26.322463,360.0,80,2023-03-07 14:25:03
1869,9796559,3FPO6  ,FS BITUMEN NO.2     ,371135000,5,0.1,120.2959,22.603915,53.3,80,2023-03-07 14:26:38
1925,0,BKSO3  ,KANG FA 11          ,412438420,5,0.0,117.88084,24.43468,360.0,80,2023-03-07 14:27:53
1970,,BIBJ2  ,,413377810,15,0.0,119.81065,26.248882,131.7,80,2023-03-07 14:22:45
1971,9799226,BICK4  ,DING HENG 16        ,413379810,0,10.3,118.98653,24.814175,50.6,80,2023-03-07 14:25:45
1976,0,BLGO3  ,ZHONG HAI YOU 698   ,413405390,1,0.0,119.75068,26.388917,0.0,80,2023-03-07 14:24:27
1981,0,BKQS5,GUO YANG 79,412763650,1,0.0,118.530967,24.4906,0.5,80,2023-03-07 14:25:43
1987,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.037453,24.466945,0.0,80,2023-03-07 14:20:19
1988,,,MIN XIA MEN YOU 0025,413693840,15,5.6,118.038838,24.464822,178.1,80,2023-03-07 14:25:22
1991,,       ,,413695110,15,0.0,117.95896,24.456867,8.7,80,2023-03-07 14:18:56
1999,,BVHL8  ,,413695950,15,0.0,118.036653,24.469597,259.1,80,2023-03-07 14:27:19
2001,,,SHUN ZHOU 99        ,413697050,15,0.0,118.17307,24.571158,166.3,80,2023-03-07 14:27:03
2002,,,ZHOUHAI 62,413697060,15,0.0,118.082517,24.526298,287.3,80,2023-03-07 14:19:14
2004,,,MIN XIA MEN YOU 0087,413697180,15,0.0,118.036752,24.463365,228.9,80,2023-03-07 14:19:17
2008,,BVHC8,,413697550,15,0.0,118.037527,24.46672,245.1,80,2023-03-07 14:27:32
2011,9702974,BVIT5  ,XING TONG 10        ,413697810,1,0.2,118.175393,24.36558,107.8,80,2023-03-07 14:27:33
2016,,BVHW8,,413698470,8,0.0,118.037407,24.462663,254.2,80,2023-03-07 14:19:11
2017,,,HENG YU 9           ,413698760,15,0.0,118.1795,24.618318,98.4,80,2023-03-07 14:26:22
2023,,,,413699550,1,0.0,118.038633,24.463075,65.2,80,2023-03-07 14:27:48
