fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
11,,BVGH8  ,,413696450,15,0.0,118.433545,24.635448,72.9,80,2023-03-15 20:56:21
36,9395379,D5IQ6  ,KORO SEA            ,636016968,5,0.0,120.33707,22.54133,121.5,80,2023-03-15 21:02:49
62,9947029,9HA5700,BWEK BORNHOLM       ,256110000,1,0.1,119.687815,25.238947,141.9,80,2023-03-15 21:04:23
65,,,HAI DA 868,412703850,15,0.0,118.037233,24.424567,200.0,80,2023-03-15 20:59:17
122,9405227,VRDQ9  ,NEW ENTERPRISE      ,477049600,0,13.0,122.3745,24.580625,201.7,80,2023-03-15 21:07:59
136,9134294,V3IJ2  ,ECHO STAR           ,312868000,1,0.2,119.686698,25.221122,21.1,80,2023-03-15 21:06:57
137,8408636,9LU2144,KUN PENG            ,667001341,2,3.4,121.54055,25.952987,328.7,80,2023-03-15 21:07:51
155,0,BVG08  ,HAI GONG 169        ,412704030,1,0.30000000000000004,118.0386,24.42946,360.0,80,2023-03-15 21:05:26
195,0,BISC   ,KAI SHUN YOU 57     ,412431920,0,7.6,119.450547,25.054567,238.1,80,2023-03-15 21:07:39
222,,0000000,,413592460,15,0.0,119.547613,26.120957,82.3,80,2023-03-15 21:07:11
271,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.300785,22.584512,53.5,80,2023-03-15 21:07:46
272,9814571,BR4001 ,CHUNG YU NO.22      ,416005452,8,0.0,120.301275,22.58479,211.8,80,2023-03-15 21:07:56
301,0,BEJE   ,CHENG LANG 66       ,413570560,1,0.1,118.186627,24.361532,360.0,80,2023-03-15 20:57:12
338,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.039928,24.467035,310.7,80,2023-03-15 21:07:44
339,0,BVAK8  ,HAI DA 788          ,413696810,1,0.0,118.043587,24.4285,360.0,80,2023-03-15 21:07:11
340,9058684,9LU2698,AN SHUEN            ,667001895,0,0.2,119.222467,22.908903,84.6,80,2023-03-15 21:07:39
362,9398058,A8SE9  ,NEW PROSPECT        ,636014203,0,12.7,122.160633,23.994767,198.0,80,2023-03-15 21:07:54
508,0,,GUO YANG 7          ,413324740,0,8.8,119.19792,24.86915,232.8,80,2023-03-15 21:05:57
761,9773935,3FOK3  ,STAR ENERGY         ,354536000,1,0.0,120.062952,23.763533,167.2,80,2023-03-15 21:06:07
763,9837559,3ERG8  ,GLOBAL EOS          ,355984000,0,13.5,121.519148,22.342023,23.3,80,2023-03-15 21:07:48
766,9195494,3EAP6  ,PAWAN PUTRA         ,357223000,0,13.8,118.9258,23.289183,142.0,80,2023-03-15 21:07:29
