locationName,latitude,longitude
海釣澎湖港馬公碼頭區,23.5615,119.5646
海釣澎湖港龍門尖山碼頭區,23.5595,119.672
海釣花蓮港東堤垂釣區,23.9767,121.6325
漁港烏石,24.868,121.836
漁港八斗子,25.147,121.79
漁港新竹,24.848,120.922
漁港將軍,23.212,120.086
漁港安平,22.99,120.154
漁港興達,22.863,120.196
漁港旗津,22.589,120.289
漁港鼓山,22.62,120.27
漁港金樽,22.954,121.292
漁港新港,23.097,121.379
漁港七美,23.194,119.42
漁港吉貝,23.74,119.613
漁港大果葉,23.594,119.517
漁港沙港西,23.606,119.62
漁港通樑,23.656,119.556
漁港後寮,23.672,119.569
漁港赤崁,23.665,119.604
漁港馬公,23.566,119.574
漁港龍門,23.559,119.674
漁港歧頭,23.649,119.609
漁港大里,24.962,121.921
漁港梗枋,24.903,121.871
漁港南方澳,24.582,121.871
漁港粉鳥林,24.496,121.844
漁港大武崙,25.167,121.708
漁港外木山,25.16,121.734
漁港正濱,25.153,121.765
漁港望海巷,25.138,121.802
漁港淡水第二,25.183,121.409
漁港磺港,25.231,121.648
漁港野柳,25.208,121.689
漁港萬里,25.182,121.695
漁港龜吼,25.196,121.688
漁港東澳,25.204,121.696
漁港深澳,25.131,121.82
漁港南雅,25.122,121.887
漁港鼻頭,25.124,121.915
漁港福隆,25.021,121.951
漁港澳底,25.058,121.927
漁港永安,24.99,121.011
漁港外埔,24.651,120.771
漁港龍鳳,24.699,120.857
漁港梧棲,24.292,120.519
漁港崙尾灣,24.081,120.421
漁港台子村,23.561,120.139
漁港金湖,23.572,120.142
漁港箔子寮,23.619,120.136
漁港五條港,23.722,120.171
漁港布袋,23.388,120.157
漁港東石,23.45,120.138
漁港下山,23.137,120.113
漁港彌陀,22.762,120.234
漁港白沙崙,22.915,120.181
漁港小港臨海新村,22.545,120.344
漁港琉球新,22.335,120.375
漁港枋寮,22.363,120.593
漁港紅柴坑,21.972,120.716
漁港後壁湖,21.945,120.745
漁港伽藍,22.791,121.193
漁港綠島,22.659,121.476
漁港花蓮,24,121.638
漁港石梯,23.495,121.506
漁港沙港東,23.604,119.631
漁港菜園,23.549,119.595
漁港前寮,23.551,119.588
漁港鎮港,23.642,119.601
漁港新湖,24.431,118.41
漁港福澳,26.159,119.942
漁港白沙,26.205,119.968
漁港竹圍,25.1171,121.24136
漁港通霄,24.49694,120.67335
漁港前鎮,22.56966,120.31366
漁港永新,22.82026,120.2081
漁港蚵仔寮,22.72577,120.25415
漁港中芸,22.4835,120.40018
漁港水利村,22.41768,120.51314
漁港東港鹽埔,22.47222,120.4367
潛點東澳漁港與龜吼漁港,25.198,121.692
潛點龍洞灣水域B區北側,25.118,121.919
潛點龍洞灣水域B區南側,25.114,121.918
潛點龍洞南口水域C區,25.102,121.921
潛點杉原海域,22.828,121.194
潛點豆腐岬水域,24.584,121.873
潛點後壁湖航道西側,21.938,120.746
潛點後壁湖遊艇港東側,21.946,120.747
潛點第三核能發電廠出水口,21.931,120.748
潛點眺石,21.957,120.767
潛點船帆石,21.931,120.823
潛點萬里桐,21.995,120.706
潛點紅柴坑,21.972,120.715
潛點小灣,21.94,120.804
潛點後灣,22.041,120.694
潛點柴口海域,22.7,121.475
潛點哈巴狗海域,22.65,121.525
潛點龜灣海域,22.625,121.475
潛點石朗海域,22.65,121.45
衝浪中角沙珠灣,25.237,121.636
衝浪東澳漁港與龜吼漁港間海域,25.198,121.692
衝浪福隆鹽寮水域F區,25.024,121.958
衝浪港澳水域遊憩活動範圍A、C區,24.88,121.846
衝浪大安海水域場B區,24.388,120.584
衝浪白砂,21.933,120.719
衝浪南灣,21.959,120.761
衝浪大灣,21.944,120.795
衝浪風吹砂,21.949,120.842
衝浪港口,21.989,120.848
