fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
2,0,BLBZ   ,HAI XIN YOU 602     ,413400630,1,0.0,118.11982,24.395182,271.1,80,2023-03-21 20:34:43
3,0,BKAQ   ,DONG HAI 302        ,413400640,1,0.0,119.79985,25.975118,111.6,80,2023-03-21 20:29:54
23,9457531,D5AY9  ,FPMC C ORIENT       ,636015472,5,0.0,120.168325,23.793377,354.2,80,2023-03-21 20:35:13
72,0,,HAI DA 868,412703850,15,0.0,118.036383,24.424833,230.1,80,2023-03-21 20:36:48
74,0,BVAQ8,HAI ZHI XING 168,412703930,1,0.1,117.550777,23.721108,153.7,80,2023-03-21 20:25:37
102,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.300873,22.58452,66.3,80,2023-03-21 20:34:24
161,0,,DA QING 769,412402730,0,8.2,117.825533,23.809730000000002,229.3,80,2023-03-21 20:35:55
187,9419618,3FPT9  ,C.PROSPERITY        ,352404000,0,11.8,118.54668,18.755453,41.2,80,2023-03-21 20:37:04
206,9134294,V3IJ2  ,ECHO STAR           ,312868000,5,0.1,117.131287,23.563963,174.9,80,2023-03-21 20:32:10
207,8408636,9LU2144,KUN PENG            ,667001341,2,0.5,121.632827,26.388972,354.4,80,2023-03-21 20:34:31
254,0,BOGX5,JIN WANG YOU 17,413235570,0,12.5,117.095867,23.169498,62.5,80,2023-03-21 20:30:28
277,0,BVCZ8  ,HAI GONG 166        ,412704020,0,4.1,118.306253,24.501473,264.1,80,2023-03-21 20:37:01
278,0,BVG08  ,HAI GONG 169        ,412704030,1,0.30000000000000004,118.038173,24.430388,360.0,80,2023-03-21 20:35:29
282,0,BPCX6  ,RUI GAO HONG YANG   ,413396330,0,10.5,118.317333,24.093192,217.2,80,2023-03-21 20:36:50
307,0,BEJE   ,CHENG LANG 66       ,413570560,0,10.9,119.800133,25.254773,15.8,80,2023-03-21 20:35:46
380,9709776,9HA3922,HAFNIA ANE          ,256465000,0,12.8,121.040517,20.764055,235.4,80,2023-03-21 20:36:33
490,,BVGH8  ,,413696450,15,0.0,118.433372,24.636597,285.1,80,2023-03-21 20:34:10
493,0,       ,DONG FANG 89,413436670,0,7.6,119.8927,26.1779,7.4,80,2023-03-21 20:34:16
617,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.040058,24.467128,166.9,80,2023-03-21 20:35:27
618,9058684,9LU2698,AN SHUEN            ,667001895,0,0.5,120.154493,22.28272,140.5,80,2023-03-21 20:36:18
1489,0,BPCO8,ZHENYANG18,412438370,0,11.3,118.468417,24.293333,43.7,80,2023-03-21 20:36:49
1548,9349942,C6WM7  ,SUN ARROWS          ,309296000,0,6.6,120.811327,21.62234,309.1,80,2023-03-21 20:37:03
1585,9686780,BRVY   ,ZHONG WEI 6         ,412476930,1,0.2,117.552917,23.714552,141.9,80,2023-03-21 20:35:42
1656,0,BPBW9  ,MIN YOU 101         ,412459770,0,11.5,118.632,24.473317,39.9,80,2023-03-21 20:36:55
1699,9591789,BEHO,MING XIANG,412570860,0,9.0,118.81803,24.44237,226.3,80,2023-03-21 20:36:51
1823,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.038107,24.466928,0.0,80,2023-03-21 20:29:42
