fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
2,0,BEJE   ,CHENG LANG 66       ,413570560,0,10.5,119.92596,25.766248,348.4,80,2023-03-21 23:36:55
40,9709776,9HA3922,HAFNIA ANE          ,256465000,0,11.9,120.563018,20.335418,220.1,80,2023-03-21 23:36:43
70,,,HAI DA 868,412703850,1,0.0,118.036267,24.42455,147.4,80,2023-03-21 23:37:08
71,,       ,,412703890,15,1.4,118.04154,24.455255,209.2,80,2023-03-21 23:34:38
72,0,BVAQ8,HAI ZHI XING 168,412703930,1,0.1,117.550492,23.721237,269.4,80,2023-03-21 23:31:38
87,9457531,D5AY9  ,FPMC C ORIENT       ,636015472,5,0.0,120.168263,23.793393000000002,354.2,80,2023-03-21 23:35:13
129,9419618,3FPT9  ,C.PROSPERITY        ,352404000,0,12.3,118.841705,19.298327,30.1,80,2023-03-21 23:37:03
147,9134294,V3IJ2  ,ECHO STAR           ,312868000,5,0.1,117.131267,23.564002,146.2,80,2023-03-21 23:37:33
172,0,BVCZ8  ,HAI GONG 166        ,412704020,0,0.0,118.035093,24.430103,360.0,80,2023-03-21 23:37:01
173,0,BVG08  ,HAI GONG 169        ,412704030,1,0.0,118.03792,24.430267,360.0,80,2023-03-21 23:32:02
176,0,BPCX6  ,RUI GAO HONG YANG   ,413396330,0,11.3,117.861368,23.73805,234.4,80,2023-03-21 23:37:08
185,0,BLBZ   ,HAI XIN YOU 602     ,413400630,1,0.0,118.119828,24.395388,271.1,80,2023-03-21 23:34:43
186,0,BKAQ   ,DONG HAI 302        ,413400640,1,0.0,119.80082,25.97369,354.4,80,2023-03-21 23:35:54
262,0,,DA QING 769,412402730,0,8.2,117.480657,23.548342,236.1,80,2023-03-21 23:37:25
344,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.040338,24.467285,257.0,80,2023-03-21 23:36:18
345,9058684,9LU2698,AN SHUEN            ,667001895,0,0.8,120.158333,22.244682,221.2,80,2023-03-21 23:37:08
373,0,BOGX5,JIN WANG YOU 17,413235570,0,12.5,117.665958,23.599827,50.1,80,2023-03-21 23:36:58
386,,,QUAN YI YOU 02      ,413697460,15,0.0,118.715055,24.81643,95.1,80,2023-03-21 23:30:35
392,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.300833,22.584498,66.3,80,2023-03-21 23:37:21
489,,BVGH8  ,,413696450,15,0.0,118.433158,24.63671,226.5,80,2023-03-21 23:28:08
492,0,       ,DONG FANG 89,413436670,0,7.2,120.1165,26.498817,46.9,80,2023-03-21 23:37:07
607,,0000000,,413592460,15,0.0,119.547622,26.12097,231.0,80,2023-03-21 23:34:28
1225,0,BPCO8,ZHENYANG18,412438370,0,10.0,118.862367,24.676067,45.9,80,2023-03-21 23:36:57
1229,9349942,C6WM7  ,SUN ARROWS          ,309296000,0,7.6,120.52765,21.833953,306.6,80,2023-03-21 23:37:04
1477,0,BPBW9  ,MIN YOU 101         ,412459770,0,9.8,119.02828,24.890735,27.4,80,2023-03-21 23:37:06
1716,9591789,BEHO,MING XIANG,412570860,0,10.1,118.411878,24.134565,236.8,80,2023-03-21 23:36:58
1842,0,BKQR5  ,JIN WANG YOU 11     ,412763640,0,11.6,119.907007,25.47063,24.7,80,2023-03-21 23:35:30
1849,9449338,BMKA,DONG GUI 8,413501020,1,0.2,119.115868,24.987172,0.0,80,2023-03-21 23:31:44
1871,,0,,413227520,15,9.7,119.490573,24.950725,35.9,80,2023-03-21 23:36:44
1899,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.038067,24.466868,0.0,80,2023-03-21 23:36:02
1905,,,HAIMINGHUA168       ,413695950,15,0.0,118.03712,24.469847,153.8,80,2023-03-21 23:36:36
1906,,,SHUN ZHOU 99        ,413697050,15,0.0,118.192558,24.560918,0.0,80,2023-03-21 23:34:09
1907,,BVBL6,,413697070,15,0.2,117.580667,23.772813,0.0,80,2023-03-21 23:31:32
