fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
22,9134294,V3IJ2  ,ECHO STAR           ,312868000,5,0.1,117.131288,23.563977,209.1,80,2023-03-24 00:32:00
54,0,BVCZ8  ,HAI GONG 166        ,412704020,1,0.0,118.032347,24.43123,360.0,80,2023-03-24 00:36:56
55,0,BVG08  ,HAI GONG 169        ,412704030,1,0.0,118.037573,24.430433,360.0,80,2023-03-24 00:31:30
64,0,BLBZ   ,HAI XIN YOU 602     ,413400630,1,0.0,118.119767,24.395183,259.0,80,2023-03-24 00:34:43
87,9595228,D5BA6  ,DALIAN              ,636015484,0,9.8,122.70437,24.609847,16.8,80,2023-03-24 00:37:08
123,,BVGH8  ,,413696450,15,0.0,118.433058,24.636948,250.6,80,2023-03-24 00:36:55
246,,BVFG 8 ,,413699880,15,0.0,118.03787,24.466857,236.4,80,2023-03-24 00:36:19
251,9630444,V7ZA6  ,BLUE ARROW          ,538004779,5,0.0,121.861753,24.59416,222.9,80,2023-03-24 00:36:45
371,,,HAI DA 868,412703850,15,0.0,118.037833,24.427667,184.1,80,2023-03-24 00:36:27
372,,       ,,412703890,15,1.4,118.041535,24.45525,271.0,80,2023-03-24 00:34:17
373,0,BVAQ8,HAI ZHI XING 168,412703930,1,0.0,117.55081,23.721715,304.8,80,2023-03-24 00:37:11
400,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.300807,22.584502,29.3,80,2023-03-24 00:36:22
446,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.040008,24.467263,151.3,80,2023-03-24 00:35:28
447,0,BVAK8  ,HAI DA 788          ,413696810,1,0.0,118.03436,24.430287,360.0,80,2023-03-24 00:32:35
448,9058684,9LU2698,AN SHUEN            ,667001895,2,0.5,120.2918,22.153365,182.8,80,2023-03-24 00:37:17
488,0,0      ,DONG  FANG  59      ,413358250,0,8.7,119.92572,25.757903,163.5,80,2023-03-24 00:37:11
879,9547520,H3UD   ,AKANE               ,353172000,0,12.3,120.758083,25.438167,221.0,80,2023-03-24 00:36:59
1343,9627734,BICH9  ,JIU LONG 7          ,412380880,0,11.0,120.107173,26.052043,7.7,80,2023-03-24 00:37:15
1510,0,BPCO8,ZHENYANG18,412438370,1,0.1,119.044083,25.022633,101.3,80,2023-03-24 00:35:21
1665,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.037853,24.466893,0.0,80,2023-03-24 00:26:59
1669,,,,413695530,0,0.0,118.037397,24.464478,360.0,80,2023-03-24 00:28:52
1727,9513488,BKUM4  ,LI HUA 28           ,413523000,0,11.8,119.790297,25.178102,225.8,80,2023-03-24 00:37:14
1747,0,BPBW9  ,MIN YOU 101         ,412459770,5,0.0,119.485387,26.018535,0.0,80,2023-03-24 00:28:04
1767,,BIBI9  ,,413377790,15,0.1,119.79282,26.264402,51.0,80,2023-03-24 00:35:48
1768,,BIBJ2  ,,413377810,15,0.1,119.887745,26.462547,3.6,80,2023-03-24 00:35:24
1772,0,BLGO3  ,ZHONG HAI YOU 698   ,413405390,0,0.0,119.706827,26.452653,87.4,80,2023-03-24 00:36:00
1775,0,       ,YONGFENGDA98,413427230,0,6.3,118.613023,24.425728,52.3,80,2023-03-24 00:37:13
1796,0,BOAA8  ,YUAN XIANG 9        ,413212540,0,9.6,120.101467,25.853037,27.1,80,2023-03-24 00:37:20
1885,0,BKTI5,KAI FENG 17,413445240,0,5.8,118.434315,24.629273,154.2,80,2023-03-24 00:36:59
1886,9646479,BKNM6,HUITONG78,413445560,1,0.0,118.999093,24.633147,100.4,80,2023-03-24 00:35:45
1888,0,BKPH6,YI DA 7,413447410,5,0.0,119.502367,26.026145,0.0,80,2023-03-24 00:32:14
