fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
2,0,0      ,DONG  FANG  59      ,413358250,0,8.9,119.908267,25.856552,177.2,80,2023-03-23 23:57:15
4,0,BBIU5,HUIJINYI 039,413327960,1,0.1,116.847358,23.247003,158.5,80,2023-03-23 23:50:58
12,0,BLBZ   ,HAI XIN YOU 602     ,413400630,1,0.0,118.119752,24.395173,259.0,80,2023-03-23 23:55:43
13,0,BKAQ   ,DONG HAI 302        ,413400640,0,9.6,121.144737,27.665052,55.3,80,2023-03-23 23:52:01
33,,BVGH8  ,,413696450,15,0.0,118.433132,24.636992,15.5,80,2023-03-23 23:54:55
82,9134294,V3IJ2  ,ECHO STAR           ,312868000,5,0.0,117.13129,23.563982,271.4,80,2023-03-23 23:53:00
105,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.300803,22.584502,29.3,80,2023-03-23 23:54:25
145,,BVFG 8 ,,413699880,15,0.0,118.037673,24.466953,236.4,80,2023-03-23 23:51:26
149,9630444,V7ZA6  ,BLUE ARROW          ,538004779,5,0.0,121.861753,24.594172,222.9,80,2023-03-23 23:54:41
251,,       ,,412703890,15,1.4,118.041533,24.45526,5.4,80,2023-03-23 23:55:17
286,0,BVCZ8  ,HAI GONG 166        ,412704020,1,0.2,118.032373,24.431213,180.1,80,2023-03-23 23:54:54
287,0,BVG08  ,HAI GONG 169        ,412704030,1,0.0,118.037573,24.430425,360.0,80,2023-03-23 23:55:30
387,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.040125,24.466993,119.7,80,2023-03-23 23:56:30
388,0,BVAK8  ,HAI DA 788          ,413696810,1,0.0,118.034347,24.430408,360.0,80,2023-03-23 23:53:39
389,9058684,9LU2698,AN SHUEN            ,667001895,2,0.7000000000000001,120.2924,22.160665,181.2,80,2023-03-23 23:57:06
426,9595228,D5BA6  ,DALIAN              ,636015484,0,10.0,122.69077,24.501498,358.5,80,2023-03-23 23:56:59
879,9547520,H3UD   ,AKANE               ,353172000,0,12.5,120.85745,25.541783,221.0,80,2023-03-23 23:57:09
1180,9352145,9HA5785,SONGA KARI ,256291000,0,12.9,119.0918,20.810017,248.0,80,2023-03-23 23:54:55
1470,0,BPCO8,ZHENYANG18,412438370,1,0.0,119.044567,25.022917,108.9,80,2023-03-23 23:56:22
1496,9349942,C6WM7  ,SUN ARROWS          ,309296000,0,8.3,121.402685,20.120093,119.2,80,2023-03-23 23:56:28
1524,9627734,BICH9  ,JIU LONG 7          ,412380880,0,10.9,120.104892,25.930205,5.4,80,2023-03-23 23:57:14
1531,9686780,BRVY   ,ZHONG WEI 6         ,412476930,5,0.0,117.498125,23.757508,157.3,80,2023-03-23 23:49:05
1807,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.038013,24.467733,0.0,80,2023-03-23 23:52:53
1811,,,,413695530,0,0.0,118.037202,24.464378,360.0,80,2023-03-23 23:52:47
1816,,,JINHAISHUN3         ,413695940,15,0.0,118.04013,24.466892,293.1,80,2023-03-23 23:50:53
1817,,,HAIMINGHUA168       ,413695950,15,0.0,118.036562,24.469565,153.8,80,2023-03-23 23:56:05
1818,,,SHUN ZHOU 99        ,413697050,15,0.0,118.192558,24.560918,0.0,80,2023-03-23 23:52:38
1819,,BVBL6,,413697070,15,0.0,117.580813,23.772695,0.0,80,2023-03-23 23:50:03
