fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
45,,0000000,,413592460,15,0.0,119.547648,26.12101,276.5,80,2023-03-26 14:35:50
47,9588445,A8WZ6  ,NORDIC BREEZE       ,636014868,0,12.2,122.799807,25.34276,179.6,80,2023-03-26 14:47:12
51,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.040397,24.466763,255.9,80,2023-03-26 14:44:26
52,0,BVAK8  ,HAI DA 788          ,413696810,5,0.0,118.08076,24.520333,202.8,80,2023-03-26 14:43:20
54,9058684,9LU2698,AN SHUEN            ,667001895,2,0.9,120.196547,22.345065,201.4,80,2023-03-26 14:47:24
58,,BVJG7,,413697040,15,7.0,120.52408,27.140425,233.5,80,2023-03-26 14:39:55
88,0,BVCZ8  ,HAI GONG 166        ,412704020,1,0.1,118.032373,24.431018,360.0,80,2023-03-26 14:39:11
89,0,BVG08  ,HAI GONG 169        ,412704030,1,0.1,118.037693,24.430185,1.8,80,2023-03-26 14:42:58
122,0,BLBZ   ,HAI XIN YOU 602     ,413400630,0,9.5,118.058032,24.479027,209.1,80,2023-03-26 14:47:31
123,0,BPDX9  ,XIANGSHUNYOU9   ,413400670,1,0.2,117.549925,23.71067,80.3,80,2023-03-26 14:41:43
190,9630444,V7ZA6  ,BLUE ARROW          ,538004779,0,9.9,122.510085,26.057302,66.3,80,2023-03-26 14:47:25
195,9238129,BIAJ3,ZHONG RAN ZHI XING,413376420,1,0.0,119.046065,25.015807,156.0,80,2023-03-26 14:47:25
221,9263227,HOZX   ,COSBRIGHT LAKE      ,351165000,0,12.7,122.460493,24.351273,11.0,80,2023-03-26 14:47:29
266,0,SSD,JI XIANG 17,414403170,0,9.6,117.642998,23.606603,227.3,80,2023-03-26 14:42:32
267,0,BTJG2  ,NING YANG YOU 8     ,414403270,0,10.3,121.630478,27.944837,212.9,80,2023-03-26 14:36:46
393,9821706,D5TW2  ,ELANDRA SOUND       ,636019297,0,10.2,119.240695,24.338228,46.7,80,2023-03-26 14:47:16
426,,,,412703850,1,0.0,118.3962,24.53585,105.7,80,2023-03-26 14:46:58
446,0,BOZC5  ,HENG  FA  16        ,413368610,0,10.1,120.5898,26.620797,233.5,80,2023-03-26 14:47:29
496,9359870,HZAO   ,GULF HUWAYLAT       ,403584000,5,0.0,120.177983,23.797233,312.0,80,2023-03-26 14:41:42
681,9335094,C6VO4  ,GULF ESPRIT         ,308231000,5,0.0,121.748833,25.141733,195.0,80,2023-03-26 14:46:58
695,0,BKUC4,YUAN XIANG 157,412401340,0,10.7,119.012033,24.709017,227.3,80,2023-03-26 14:39:50
809,0,BPCR9  ,RONG TOU YOU 8      ,412303310,15,0.2,119.450002,25.240477,141.3,80,2023-03-26 14:38:24
968,0,BPCO8,ZHENYANG18,412438370,1,0.1,119.043817,25.0212,117.1,80,2023-03-26 14:39:07
1187,0,BINB   ,HU YOU 8            ,412373510,0,9.8,118.833707,24.621285,229.7,80,2023-03-26 14:47:03
1196,,0000000,,412592650,15,0.0,117.453865,23.657497,227.4,80,2023-03-26 14:46:11
1282,0,BOYZ4  ,CHANG LI 28         ,413345850,0,12.5,118.806733,24.630208,226.3,80,2023-03-26 14:46:46
1334,0,BOCI6,SHUN YANG 77,413438050,0,8.5,119.180735,24.841095,227.1,80,2023-03-26 14:47:27
1341,0,BKTI5,KAI FENG 17,413445240,1,0.1,119.044627,25.01253,0.0,80,2023-03-26 14:42:28
1342,0,BKPH6,YI DA 7,413447410,0,6.2,117.57752,23.730247,192.0,80,2023-03-26 14:47:01
1346,1400704,BLEO   ,XIN HANG 301        ,413451370,1,0.0,120.966453,27.725477,169.2,80,2023-03-26 14:42:05
1361,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.037507,24.465905,0.0,80,2023-03-26 14:45:16
1365,,,,413695530,15,0.0,118.037787,24.463752,87.8,80,2023-03-26 14:36:23
1371,,,HAIMINGHUA168       ,413695950,15,0.0,118.036745,24.469038,36.8,80,2023-03-26 14:43:37
1373,,,SHUN ZHOU 99        ,413697050,15,0.0,118.192548,24.560825,281.4,80,2023-03-26 14:43:17
1374,,BVBL6,,413697070,15,0.1,117.580667,23.772753,0.0,80,2023-03-26 14:35:48
1377,,,MIN XIA MEN YOU 0087,413697180,15,0.0,118.036767,24.463267,249.6,80,2023-03-26 14:36:52
1380,,BVHC8,,413697550,15,0.0,118.037387,24.4663,247.1,80,2023-03-26 14:41:55
1384,9702974,BVIT5  ,XING TONG 10        ,413697810,1,0.30000000000000004,118.123083,24.39143,44.9,80,2023-03-26 14:45:23
1390,0,BVHW8  ,HAI GONG 167        ,413698470,8,0.0,118.03749,24.462468,116.3,80,2023-03-26 14:43:35
1391,,,HENG YU 9           ,413698760,15,7.4,118.204357,24.456933,28.9,80,2023-03-26 14:47:08
1471,9342774,BPFU   ,RUI JIN TAN         ,413154000,0,4.1,121.89744,27.932063,224.2,80,2023-03-26 14:40:43
1475,9398943,BQCH   ,YUAN YANG HU        ,413880000,0,8.5,121.558612,22.522222,215.5,80,2023-03-26 14:47:24
1500,0,BHYF6  ,HENG SHUN YOU 68    ,413360780,0,8.3,119.886187,25.287563,36.8,80,2023-03-26 14:41:13
1509,,BIBI9  ,,413377790,15,0.2,119.793447,26.264692,51.0,80,2023-03-26 14:45:57
1510,,BIBJ2  ,,413377810,15,0.30000000000000004,119.822837,26.230962,137.4,80,2023-03-26 14:46:43
1516,0,BLGO3  ,ZHONG HAI YOU 698   ,413405390,1,0.2,119.796493,26.26274,67.7,80,2023-03-26 14:42:39
1542,0,0      ,MING RI GUANG 10 HAO,413232120,0,9.1,121.24296,27.421765,36.0,80,2023-03-26 14:39:34
1584,0,BFBM9  ,ZHONG HAI YOU 668   ,413305640,1,0.0,119.794973,26.264388,299.0,80,2023-03-26 14:47:13
1597,0,BPCX9  ,XIN XIANG TAI       ,412378820,5,0.0,118.043633,24.452343,356.6,80,2023-03-26 14:40:59
1638,9550060,BPBF7  ,HUA FU YOU 2        ,413498270,5,0.0,119.262663,25.426975,244.9,80,2023-03-26 14:44:01
1660,0,BOYU6,YIJIA1HAO,413357930,0,9.4,117.489282,23.573863,234.2,80,2023-03-26 14:46:13
1668,0,BVFR8,HAIDA988,412705360,1,0.1,118.04222,24.426003,227.2,80,2023-03-26 14:41:13
1674,9594688,BYFU   ,FENG HAI 23         ,413466780,0,7.3,119.869735,25.412563,22.4,80,2023-03-26 14:47:26
1678,,,,413700790,15,0.0,118.037698,24.463688,359.3,80,2023-03-26 14:38:41
1713,,,MIN XIA MEN YOU 0060,412459660,15,0.0,118.037178,24.462502,55.8,80,2023-03-26 14:36:17
1752,0,,HUA SHENG366        ,414403440,1,0.1,119.109448,24.969778,305.5,80,2023-03-26 14:39:23
1755,0,____   ,BAI TONG 9          ,414405380,1,0.1,119.08944,24.972405,70.0,80,2023-03-26 14:44:34
1802,9572185,VRGU7  ,SC CHENGDU          ,477779200,0,11.7,121.610267,26.188733,203.0,80,2023-03-26 14:46:16
1805,9337171,VRMH6  ,COSPEARL LAKE       ,477242700,0,14.1,120.65849299999999,21.261805,220.1,80,2023-03-26 14:47:28
1808,0,BKWF3,DA QING 739,413404390,5,0.0,118.430328,24.641552,306.9,80,2023-03-26 14:41:42
