fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
19,9134294,V3IJ2  ,ECHO STAR           ,312868000,5,0.0,117.131287,23.563992,198.8,80,2023-03-26 07:35:39
21,8408636,9LU2144,KUN PENG            ,667001341,2,1.7000000000000002,121.53247,25.719328,177.1,80,2023-03-26 07:36:41
52,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.039745,24.466747,214.6,80,2023-03-26 07:27:18
53,0,BVAK8  ,HAI DA 788          ,413696810,1,0.0,118.036413,24.425017,360.0,80,2023-03-26 07:37:05
54,9058684,9LU2698,AN SHUEN            ,667001895,2,0.30000000000000004,120.255227,22.04303,283.2,80,2023-03-26 07:37:24
85,0,BVCZ8  ,HAI GONG 166        ,412704020,1,0.0,118.034293,24.431153,360.0,80,2023-03-26 07:34:16
86,0,BVG08  ,HAI GONG 169        ,412704030,1,0.1,118.039413,24.430188,360.0,80,2023-03-26 07:37:26
141,0,SSD,JI XIANG 17,414403170,0,9.8,118.49855,24.318737,226.0,80,2023-03-26 07:37:36
165,9263227,HOZX   ,COSBRIGHT LAKE      ,351165000,0,12.5,121.9003,23.01383,16.4,80,2023-03-26 07:37:29
189,9630444,V7ZA6  ,BLUE ARROW          ,538004779,0,10.2,121.410793,25.476337,54.2,80,2023-03-26 07:37:34
192,9238129,BIAJ3,ZHONG RAN ZHI XING,413376420,0,8.6,118.521363,24.372102,36.0,80,2023-03-26 07:37:30
218,0,BQNU,YUN DA YOU 6,413488260,0,6.9,116.786402,23.294097,320.2,80,2023-03-26 07:30:37
245,0,BLBZ   ,HAI XIN YOU 602     ,413400630,5,0.0,118.087958,24.537715,157.6,80,2023-03-26 07:37:20
273,0,BOZC5  ,HENG  FA  16        ,413368610,0,10.3,121.389533,27.657068,216.1,80,2023-03-26 07:31:26
288,0,BODT5  ,SHENG RONG 26       ,413223960,5,0.0,117.58426299999999,23.738841999999998,77.3,80,2023-03-26 07:31:33
304,0,,HAI DA 868,412703850,15,11.4,118.05112,24.426838,111.4,80,2023-03-26 07:36:59
305,,       ,,412703890,15,1.4,118.041538,24.455238,154.0,80,2023-03-26 07:34:55
319,,,QUAN YI YOU 02      ,413697460,15,1.5,118.714402,24.816352,270.0,80,2023-03-26 07:33:08
365,,BVGH8  ,,413696450,15,0.0,118.433353,24.63556,287.5,80,2023-03-26 07:33:48
488,0,0      ,DONG  FANG  59      ,413358250,0,6.5,119.901187,26.183917,18.4,80,2023-03-26 07:37:35
506,9821706,D5TW2  ,ELANDRA SOUND       ,636019297,0,11.9,118.04989,23.494815,69.0,80,2023-03-26 07:33:16
536,9359870,HZAO   ,GULF HUWAYLAT       ,403584000,0,7.5,120.055167,23.763617,94.0,80,2023-03-26 07:37:35
634,9335094,C6VO4  ,GULF ESPRIT         ,308231000,0,13.3,121.763883,25.760633,184.0,80,2023-03-26 07:37:33
746,0,BKUC4,YUAN XIANG 157,412401340,0,9.5,119.932333,25.5545,206.8,80,2023-03-26 07:37:36
1148,,0000000,,412592650,15,0.0,117.453843,23.657492,294.7,80,2023-03-26 07:27:42
1174,0,BOCI6,SHUN YANG 77,413438050,0,7.0,119.906558,25.525233,194.5,80,2023-03-26 07:37:27
1277,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.036907,24.466438,0.0,80,2023-03-26 07:29:16
1283,,,JINHAISHUN3         ,413695940,15,0.0,118.039822,24.466652,74.7,80,2023-03-26 07:35:51
1284,,,HAIMINGHUA168       ,413695950,15,0.0,118.03628,24.469253,36.8,80,2023-03-26 07:30:10
1286,,,SHUN ZHOU 99        ,413697050,15,0.0,118.192548,24.560825,281.4,80,2023-03-26 07:32:22
1290,,BVHC8,,413697550,15,0.0,118.03728,24.466452,108.1,80,2023-03-26 07:35:55
1294,9702974,BVIT5  ,XING TONG 10        ,413697810,1,0.2,118.172208,24.363612,158.8,80,2023-03-26 07:35:19
1298,0,BVHW8  ,HAI GONG 167        ,413698470,8,0.0,118.03701,24.462565,78.9,80,2023-03-26 07:32:16
1299,,,HENG YU 9           ,413698760,15,0.0,118.036405,24.43007,243.3,80,2023-03-26 07:34:20
1324,0,0      ,MING RI GUANG 10 HAO,413232120,0,9.4,120.52932,26.556552,48.8,80,2023-03-26 07:37:30
1363,0,BXQQ   ,FU LI518            ,412469620,0,8.0,118.130898,24.37015,135.0,80,2023-03-26 07:37:18
1403,0,BOYZ4  ,CHANG LI 28         ,413345850,0,11.7,120.033422,25.530763,199.0,80,2023-03-26 07:37:06
1412,0,BOYU6,YIJIA1HAO,413357930,0,9.4,118.377917,24.247867,222.2,80,2023-03-26 07:37:25
1420,0,BVFR8,HAIDA988,412705360,1,0.0,118.04474,24.425642,334.0,80,2023-03-26 07:32:15
1438,,BIBI9  ,,413377790,15,0.30000000000000004,119.792513,26.264432,51.0,80,2023-03-26 07:36:39
1445,0,BLGO3  ,ZHONG HAI YOU 698   ,413405390,0,0.0,119.572747,26.134913,355.9,80,2023-03-26 07:37:31
1479,0,BFBM9  ,ZHONG HAI YOU 668   ,413305640,1,0.0,119.794147,26.264413,185.2,80,2023-03-26 07:32:18
1484,0,BKTI5,KAI FENG 17,413445240,0,9.3,119.057162,24.999165,316.5,80,2023-03-26 07:26:12
1485,9646479,BKNM6,HUITONG78,413445560,1,0.30000000000000004,118.998418,24.631417,289.5,80,2023-03-26 07:36:00
1500,0,,SHAN QING 5 ,413470870,0,0.1,117.108463,23.55967,85.6,80,2023-03-26 07:30:03
1501,,,ZHENG LI XIN HAI 101,413472670,15,4.7,118.894613,24.874823,291.3,80,2023-03-26 07:33:33
1509,9611656,BPGF   ,GUI CHI             ,414732000,0,12.3,119.462172,24.421675,37.5,80,2023-03-26 07:31:03
1511,9283277,BPAC   ,YU LIN WAN          ,413120000,0,11.6,119.001407,24.329363,41.0,80,2023-03-26 07:25:09
1518,0,_      ,HUA GUANG 95        ,413466770,0,1.7000000000000002,116.86012,23.262317,133.0,80,2023-03-26 07:30:44
1605,9398943,BQCH   ,YUAN YANG HU        ,413880000,0,11.1,122.002235,23.420368,204.1,80,2023-03-26 07:37:33
1623,0,BPCX9  ,XIN XIANG TAI       ,412378820,5,0.0,118.043657,24.452297,356.6,80,2023-03-26 07:31:54
1655,9887360,D7HF   ,HANYU FRONTIER      ,441497000,5,0.0,120.505493,24.26487,274.9,80,2023-03-26 07:35:01
1693,9337171,VRMH6  ,COSPEARL LAKE       ,477242700,0,12.9,121.659665,22.685342,201.7,80,2023-03-26 07:37:33
1696,0,BKWF3,DA QING 739,413404390,1,0.0,118.533308,24.527637,286.4,80,2023-03-26 07:36:20
1699,8910639,BNCB   ,TONG YEA NO.3       ,416124900,0,0.0,120.2859,22.597453,360.0,80,2023-03-26 07:37:30
1712,,,JINSHI87,413593760,15,10.0,119.802133,26.643417,135.5,80,2023-03-26 07:35:26
1729,0,____   ,BAI TONG 9          ,414405380,1,0.0,119.0898,24.972112,301.4,80,2023-03-26 07:26:37
1742,0,,HUA JUN YOU 369     ,413511130,5,0.0,119.48816,26.020388,216.6,80,2023-03-26 07:25:53
1746,9795115,9V5370 ,EAGLE LYON          ,563027100,0,12.9,121.496915,25.875518,224.3,80,2023-03-26 07:37:21
1747,9233973,D5NC9  ,MERMAID T           ,636017876,0,11.4,121.057677,26.115752,227.9,80,2023-03-26 07:37:22
1896,0,BHOW   ,JI  XIANG  6        ,413444190,1,0.0,118.11744,24.39996,360.0,80,2023-03-26 07:36:20
1906,0,BQ3019,CHUNG YU NO1,416000120,1,0.0,120.519152,24.286665,241.9,80,2023-03-26 07:36:39
1936,,,MIN XIA MEN YOU 0060,412459660,15,0.0,118.036977,24.462663,154.2,80,2023-03-26 07:36:00
2006,0,,YONGFENGDA18,413417630,0,6.9,119.719833,25.847133,37.0,80,2023-03-26 07:36:50
2019,9166857,D8VG   ,ARAHAN              ,440501000,0,3.0,120.208588,22.513173,83.4,80,2023-03-26 07:37:23
2042,0,BMNY   ,FA XING YOU 168,413508450,0,0.1,119.795148,26.217958,268.0,80,2023-03-26 07:36:04
2098,,BVCA8,,413694720,15,0.1,118.042155,24.429338,28.4,80,2023-03-26 07:36:18
2152,9166962,3EVT9  ,JM ARIES            ,374974000,0,10.8,122.09748,26.267133,35.6,80,2023-03-26 07:25:25
2190,0,BKRE6  ,RUN JI 9,413450890,0,9.6,119.558377,24.994545,227.0,80,2023-03-26 07:37:24
2192,0,BKNO6,GUO YANG 118,413445930,0,9.3,119.467777,25.04444,64.9,80,2023-03-26 07:37:35
2287,9171175,UENV ,CILICIA,273436640,0,11.6,120.679725,24.79098,26.7,80,2023-03-26 07:37:34
2318,930458800,OZSG2  ,TORM RESILIENCE     ,219027876,0,11.1,121.542845,21.146703,45.0,80,2023-03-26 07:37:04
2326,9235270,DSRP5,LADY GAS,440387000,0,11.3,122.962842,26.06937,201.2,80,2023-03-26 07:33:34
2353,9820063,SSD,CHUNG YU16,416005473,15,0.0,120.301722,22.58494,67.7,80,2023-03-26 07:37:35
2354,9820075,BR4010 ,CHUNG YU NO.18      ,416005474,15,0.0,121.74328,25.140232,360.0,80,2023-03-26 07:37:31
2355,9820087,BR4011 ,CHUNG YU NO.19      ,416005475,0,0.0,121.743347,25.140305,294.1,80,2023-03-26 07:37:28
2386,,,WO SHUN,667001839,15,0.8,119.267235,22.92164,306.3,80,2023-03-26 07:37:08
2433,0,BLTD7,YU SHUN 78,412427630,1,0.30000000000000004,118.89495,24.868983,344.2,80,2023-03-26 07:32:25
2443,8801759,9LU2185,SJMARINER 1,667001382,0,0.1,120.250808,22.583613,250.2,80,2023-03-26 07:37:32
2459,,,LUHAIXING66,413699970,15,0.1,118.038147,24.462817,146.5,80,2023-03-26 07:33:12
2486,9337195,A8QN6  ,FPMC C HONOR        ,636013971,5,0.0,120.168247,23.793357,303.4,80,2023-03-26 07:34:49
2550,9396725,D5NJ9  ,ALNIC MC            ,636017930,0,12.5,121.25755,22.019093,42.8,80,2023-03-26 07:37:36
