fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
19,9134294,V3IJ2  ,ECHO STAR           ,312868000,0,13.1,117.400597,23.377128,120.5,80,2023-03-26 12:35:27
20,8408636,9LU2144,KUN PENG            ,667001341,0,3.5,121.520232,26.018623,5.2,80,2023-03-26 12:34:02
47,0,BVCZ8  ,HAI GONG 166        ,412704020,1,0.1,118.03236,24.431352,360.0,80,2023-03-26 12:33:09
48,0,BVG08  ,HAI GONG 169        ,412704030,1,0.1,118.037867,24.430368,360.0,80,2023-03-26 12:36:50
79,0,BOZC5  ,HENG  FA  16        ,413368610,0,10.7,120.824987,26.900383,194.8,80,2023-03-26 12:37:06
123,,BVGH8  ,,413696450,15,0.0,118.43323,24.636898,109.2,80,2023-03-26 12:36:47
246,0,0      ,DONG  FANG  59      ,413358250,0,5.1,120.127373,26.618422,33.6,80,2023-03-26 12:37:27
247,0,BBIU5,HUIJINYI 039,413327960,0,7.8,116.839658,23.228083,144.2,80,2023-03-26 12:30:55
270,0,SSD,JI XIANG 17,414403170,0,8.7,117.915922,23.837888,228.5,80,2023-03-26 12:26:54
282,9821706,D5TW2  ,ELANDRA SOUND       ,636019297,0,11.1,118.930327,24.080722,48.8,80,2023-03-26 12:36:57
313,9630444,V7ZA6  ,BLUE ARROW          ,538004779,0,9.7,122.15855,25.885685,66.5,80,2023-03-26 12:37:24
318,9238129,BIAJ3,ZHONG RAN ZHI XING,413376420,0,8.8,119.048267,24.938082,32.2,80,2023-03-26 12:37:30
336,9263227,HOZX   ,COSBRIGHT LAKE      ,351165000,0,11.7,122.267282,23.950605,32.3,80,2023-03-26 12:37:28
427,,,HAI DA 868,412703850,15,0.0,118.2274,24.502833,125.0,80,2023-03-26 12:37:13
428,,       ,,412703890,15,1.4,118.041522,24.455277,126.0,80,2023-03-26 12:36:20
455,9588445,A8WZ6  ,NORDIC BREEZE       ,636014868,0,13.7,122.8436,25.823472,187.4,80,2023-03-26 12:37:22
475,0,BKUC4,YUAN XIANG 157,412401340,0,10.8,119.311933,24.9498,231.6,80,2023-03-26 12:37:19
567,9359870,HZAO   ,GULF HUWAYLAT       ,403584000,5,0.0,120.17785,23.7973,299.0,80,2023-03-26 12:32:42
750,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.040368,24.466807,218.0,80,2023-03-26 12:32:29
751,0,BVAK8  ,HAI DA 788          ,413696810,0,7.9,118.0524,24.465427,16.7,80,2023-03-26 12:37:31
753,9058684,9LU2698,AN SHUEN            ,667001895,2,0.30000000000000004,120.194587,22.361153,36.5,80,2023-03-26 12:37:23
789,,BPCR9  ,,412303310,0,0.1,119.449893,25.240538,306.4,80,2023-03-26 12:35:49
874,9335094,C6VO4  ,GULF ESPRIT         ,308231000,5,0.0,121.74875,25.1418,290.0,80,2023-03-26 12:34:58
896,0,BINB   ,HU YOU 8            ,412373510,0,9.3,119.113707,24.860052,227.9,80,2023-03-26 12:37:31
902,0,BXQQ   ,FU LI518            ,412469620,0,5.9,117.91782,23.949672,220.3,80,2023-03-26 12:33:38
1016,0,BPCO8,ZHENYANG18,412438370,1,0.1,119.043567,25.022167,165.1,80,2023-03-26 12:27:08
1254,,0000000,,412592650,15,0.0,117.453773,23.657543,128.6,80,2023-03-26 12:36:48
1314,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.03712,24.466668,0.0,80,2023-03-26 12:31:27
1319,,,,413695530,0,0.0,118.037033,24.463982,360.0,80,2023-03-26 12:36:45
1326,,,JINHAISHUN3         ,413695940,15,0.0,118.040007,24.46668,74.7,80,2023-03-26 12:29:45
1327,,,HAIMINGHUA168       ,413695950,15,0.0,118.036253,24.469145,36.8,80,2023-03-26 12:37:25
1330,,,SHUN ZHOU 99        ,413697050,15,0.0,118.192548,24.560825,281.4,80,2023-03-26 12:37:13
1331,,,ZHOUHAI 62,413697060,15,0.1,118.03712,24.464278,116.0,80,2023-03-26 12:31:13
1332,,BVBL6,,413697070,15,0.0,117.580627,23.772775,0.0,80,2023-03-26 12:35:44
1334,,,MIN XIA MEN YOU 0087,413697180,15,0.0,118.036468,24.46351,249.6,80,2023-03-26 12:36:40
1337,,BVHC8,,413697550,15,0.0,118.037318,24.466532,179.2,80,2023-03-26 12:35:02
1341,9702974,BVIT5  ,XING TONG 10        ,413697810,1,0.1,118.122943,24.392512,235.8,80,2023-03-26 12:36:22
1346,0,BVJE5,XINGTONG106,413698440,0,0.0,118.924812,25.052475,360.0,80,2023-03-26 12:29:20
1347,0,BVHW8  ,HAI GONG 167        ,413698470,8,0.0,118.036987,24.462623,189.7,80,2023-03-26 12:35:32
1348,,,HENG YU 9           ,413698760,15,0.0,117.996212,24.449507,256.1,80,2023-03-26 12:29:41
1445,0,0      ,MING RI GUANG 10 HAO,413232120,0,9.1,121.018707,27.138673,28.8,80,2023-03-26 12:26:31
1447,9856476,BOGI3  ,KUN SHUN            ,413233410,0,0.5,119.253625,25.438428,88.1,80,2023-03-26 12:35:17
1505,0,BOYZ4  ,CHANG LI 28         ,413345850,0,12.4,119.20139,24.895343,238.9,80,2023-03-26 12:37:26
1570,0,BOCI6,SHUN YANG 77,413438050,0,8.7,119.4476,25.040562,236.1,80,2023-03-26 12:37:28
1575,0,,GANGGONG6           ,413444620,1,0.0,121.10344,27.897995,149.7,80,2023-03-26 12:37:31
1577,9646479,BKNM6,HUITONG78,413445560,1,0.5,118.998272,24.631583,147.5,80,2023-03-26 12:32:45
1578,0,BKPH6,YI DA 7,413447410,5,0.0,117.584193,23.737272,8.8,80,2023-03-26 12:29:22
1583,1400704,BLEO   ,XIN HANG 301        ,413451370,1,0.1,120.964467,27.725973,201.8,80,2023-03-26 12:27:05
1592,0,,SHAN QING 5 ,413470870,0,0.0,117.108437,23.559665,186.3,80,2023-03-26 12:28:22
1593,,,ZHENG LI XIN HAI 101,413472670,15,0.0,118.891755,24.874433,108.6,80,2023-03-26 12:27:49
1597,0,BMEO   ,DONG FANG 67,413494360,5,0.0,117.987323,24.451392,282.9,80,2023-03-26 12:26:27
1637,9398943,BQCH   ,YUAN YANG HU        ,413880000,0,8.0,121.715442,22.776078,207.6,80,2023-03-26 12:37:22
1658,9795115,9V5370 ,EAGLE LYON          ,563027100,0,12.9,120.745973,24.987182,212.2,80,2023-03-26 12:37:31
1659,9233973,D5NC9  ,MERMAID T           ,636017876,0,12.6,120.240582,25.415,236.9,80,2023-03-26 12:37:31
1669,0,BQ3019,CHUNG YU NO1,416000120,1,0.0,120.520222,24.286683,39.0,80,2023-03-26 12:36:41
1699,0,BPCX9  ,XIN XIANG TAI       ,412378820,5,0.0,118.043593,24.452353,356.6,80,2023-03-26 12:28:58
1735,9611656,BPGF   ,GUI CHI             ,414732000,0,11.3,120.234857,25.181077,47.5,80,2023-03-26 12:37:14
1737,9283277,BPAC   ,YU LIN WAN          ,413120000,0,11.2,119.83277,25.004243,49.4,80,2023-03-26 12:27:57
1746,9594688,BYFU   ,FENG HAI 23         ,413466780,0,7.6,119.720102,25.196282,61.1,80,2023-03-26 12:35:07
1749,,,,413700790,15,0.0,118.037052,24.464052,238.9,80,2023-03-26 12:33:35
1819,9550060,BPBF7  ,HUA FU YOU 2        ,413498270,5,0.0,119.262643,25.426973,283.9,80,2023-03-26 12:35:01
1827,9337171,VRMH6  ,COSPEARL LAKE       ,477242700,0,15.5,120.98358,21.661747,213.0,80,2023-03-26 12:37:28
1831,0,BKWF3,DA QING 739,413404390,0,3.6,118.433103,24.63272,341.3,80,2023-03-26 12:37:26
1850,0,BHYF6  ,HENG SHUN YOU 68    ,413360780,0,8.1,119.669677,25.088642,48.6,80,2023-03-26 12:37:21
1859,,BIBI9  ,,413377790,15,0.1,119.792507,26.264688,51.0,80,2023-03-26 12:36:50
1860,,BIBJ2  ,,413377810,15,0.1,119.79172,26.266718,120.7,80,2023-03-26 12:37:09
1867,0,BLGO3  ,ZHONG HAI YOU 698   ,413405390,0,7.1,119.794227,26.208872,354.7,80,2023-03-26 12:37:02
1875,0,BVFR8,HAIDA988,412705360,1,0.1,118.042208,24.426093,357.2,80,2023-03-26 12:35:12
1895,8910639,BNCB   ,TONG YEA NO.3       ,416124900,0,0.0,120.285993,22.597468,360.0,80,2023-03-26 12:37:29
1917,9572185,VRGU7  ,SC CHENGDU          ,477779200,0,12.0,121.776733,26.58505,187.0,80,2023-03-26 12:36:44
1930,9887360,D7HF   ,HANYU FRONTIER      ,441497000,5,0.0,120.505468,24.26492,274.9,80,2023-03-26 12:35:08
1937,9426295,9V8599 ,PIS POLARIS         ,563270000,0,12.6,122.276617,22.594412,14.5,80,2023-03-26 12:36:48
1945,0,,YONGFENGDA18,413417630,0,6.6,119.979517,26.32745,33.1,80,2023-03-26 12:37:24
1963,0,BHOW   ,JI  XIANG  6        ,413444190,1,0.1,118.114987,24.400855,360.0,80,2023-03-26 12:37:04
1969,0,,HUA SHENG366        ,414403440,1,0.1,119.109343,24.969942,314.4,80,2023-03-26 12:36:19
1972,0,____   ,BAI TONG 9          ,414405380,1,0.1,119.08908,24.972705,156.8,80,2023-03-26 12:35:36
2020,,BVCA8,,413694720,15,8.0,118.047165,24.444618,357.8,80,2023-03-26 12:36:24
2061,0,BMNY   ,FA XING YOU 168,413508450,0,0.1,119.794797,26.218137,251.3,80,2023-03-26 12:37:08
2125,0,9LU2642,WO SHUN,667001839,0,0.1,119.26813,22.923698,252.3,80,2023-03-26 12:37:03
2146,,,LUHAIXING66,413699970,15,0.1,118.03815,24.463067,110.8,80,2023-03-26 12:34:27
2149,0,BFBM9  ,ZHONG HAI YOU 668   ,413305640,1,0.1,119.79408,26.26475,145.1,80,2023-03-26 12:35:15
2152,0,,HUA JUN YOU 369     ,413511130,5,0.0,119.48816,26.020418,216.6,80,2023-03-26 12:31:55
2166,,,MIN XIA MEN YOU 0060,412459660,15,0.0,118.03697,24.462762,239.7,80,2023-03-26 12:36:41
2202,9166857,D8VG   ,ARAHAN              ,440501000,5,0.2,120.30814,22.534923,250.9,80,2023-03-26 12:35:57
2242,9363869,3ETR3  ,BAY YASU            ,370646000,0,8.8,120.308345,24.223502,71.8,80,2023-03-26 12:37:13
2260,0,BKRE6  ,RUN JI 9,413450890,0,4.5,118.932517,24.592817,197.8,80,2023-03-26 12:29:06
