fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
1,0,BEJE   ,CHENG LANG 66       ,413570560,1,0.1,118.18588,24.360955,360.0,80,2023-03-16 23:35:46
2,0,BEHS   ,MING   CHENG        ,413570660,0,8.9,120.63531,26.797683,51.5,80,2023-03-16 23:37:57
50,0,BOAC7  ,DA AN 38            ,413212970,0,10.8,119.66705,25.157272,236.1,80,2023-03-16 23:35:31
68,0,BBIU5,HUIJINYI 039,413327960,1,0.0,118.491218,24.55093,342.5,80,2023-03-16 23:35:55
79,0,BREE   ,KAI SHUN YOU 1      ,413207680,0,11.3,118.92356,24.612508,227.4,80,2023-03-16 23:34:55
90,0,BVCZ8  ,HAI GONG 166        ,412704020,0,5.4,118.00212,24.446657,289.4,80,2023-03-16 23:35:28
91,0,BVG08  ,HAI GONG 169        ,412704030,1,0.5,118.039147,24.430485,360.0,80,2023-03-16 23:37:00
107,,,JIN HAI SHUN 5      ,413696780,15,0.0,118.039865,24.467125,220.4,80,2023-03-16 23:33:54
108,,BVHG8,,413696790,15,0.1,118.037847,24.466427,75.8,80,2023-03-16 23:35:07
109,0,BVAK8  ,HAI DA 788          ,413696810,1,0.1,118.04312,24.428553,21.6,80,2023-03-16 23:36:56
110,9058684,9LU2698,AN SHUEN            ,667001895,0,0.6000000000000001,119.287547,22.818145,107.9,80,2023-03-16 23:37:58
114,,,DA FENG 3,413697040,15,7.6,119.855342,26.175067,204.4,80,2023-03-16 23:31:41
127,9796913,VRRS6  ,FOREVER SPLENDOR    ,477162400,0,13.9,122.037142,23.51634,24.4,80,2023-03-16 23:37:58
141,9395379,D5IQ6  ,KORO SEA            ,636016968,5,0.0,120.337082,22.541202,121.5,80,2023-03-16 23:32:50
244,9708497,VRQA3  ,NEW ODYSSEY         ,477430300,0,12.0,118.391277,20.477383,71.3,80,2023-03-16 23:36:58
258,8408636,9LU2144,KUN PENG            ,667001341,0,6.3,121.641775,25.836408,325.0,80,2023-03-16 23:37:45
277,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.300798,22.58449,16.6,80,2023-03-16 23:35:11
278,9814571,BR4001 ,CHUNG YU NO.22      ,416005452,8,0.0,120.301265,22.584677,334.6,80,2023-03-16 23:37:57
287,,0000000,,413592460,15,0.0,119.547643,26.120957,42.2,80,2023-03-16 23:27:34
301,0,BLBZ   ,HAI XIN YOU 602     ,413400630,0,10.1,119.275868,25.003718,262.7,80,2023-03-16 23:37:53
302,0,BKAQ   ,DONG HAI 302        ,413400640,0,8.2,117.433335,23.420003,49.5,80,2023-03-16 23:33:26
317,0,BISC   ,KAI SHUN YOU 57     ,412431920,1,0.6000000000000001,118.177133,24.35938,34.9,80,2023-03-16 23:37:00
351,9650339,VRKU4  ,ZHUANG YUAN AO      ,477938700,0,10.9,119.671272,24.974448,225.9,80,2023-03-16 23:35:17
362,,,HAI DA 868,412703850,15,0.0,118.037083,24.424717,144.9,80,2023-03-16 23:37:07
364,0,BVAQ8,HAI ZHI XING 168,412703930,1,0.30000000000000004,117.5481,23.71945,168.2,80,2023-03-16 23:25:17
418,9734678,C6BV7  ,CONCORDE            ,311000378,0,15.3,121.127978,25.856423,60.0,80,2023-03-16 23:36:22
421,,BVGH8  ,,413696450,15,0.0,118.433325,24.635403,5.9,80,2023-03-16 23:35:13
423,0,,HUI HANG 117,413436690,1,0.1,118.1084,24.38525,165.1,80,2023-03-16 23:31:30
