fid,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,SOG,Longitude,Latitude,COG,Ship_and_Cargo_Type,Record_Time
2,9947029,9HA5700,BWEK BORNHOLM       ,256110000,1,0.1,119.6861,25.236987,76.9,80,2023-03-16 20:13:23
5,,,HAI DA 868,412703850,15,0.1,118.036967,24.424733,129.2,80,2023-03-16 20:20:00
6,,       ,,412703890,15,1.4,118.041573,24.455282,267.6,80,2023-03-16 20:18:12
8,0,BVAQ8,HAI ZHI XING 168,412703930,1,0.2,117.548028,23.719558,154.4,80,2023-03-16 20:19:19
32,9814569,BR4000 ,CHUNG YU NO.21      ,416005451,5,0.0,120.30087,22.584438,16.6,80,2023-03-16 20:20:10
33,9814571,BR4001 ,CHUNG YU NO.22      ,416005452,8,0.0,120.301375,22.584600000000002,164.0,80,2023-03-16 20:20:58
62,0,BEJE   ,CHENG LANG 66       ,413570560,1,0.30000000000000004,118.185333,24.360868,360.0,80,2023-03-16 20:18:05
63,0,BEHS   ,MING   CHENG        ,413570660,0,10.7,120.153122,26.520017,69.4,80,2023-03-16 20:15:47
91,,,JIN HAI SHUN 5      ,413696780,15,8.0,118.0375,24.429022,18.8,80,2023-03-16 20:15:34
92,0,BVAK8  ,HAI DA 788          ,413696810,1,0.4,118.042693,24.428997,30.7,80,2023-03-16 20:19:27
93,9058684,9LU2698,AN SHUEN            ,667001895,0,0.2,119.288213,22.818152,41.4,80,2023-03-16 20:20:57
97,,,DA FENG 3,413697040,15,8.0,120.090693,26.523308,187.4,80,2023-03-16 20:19:33
127,0,BBIU5,HUIJINYI 039,413327960,1,0.4,118.490768,24.550978,170.7,80,2023-03-16 20:20:55
194,9134294,V3IJ2  ,ECHO STAR           ,312868000,1,0.2,119.683228,25.219085,254.9,80,2023-03-16 20:09:39
195,8408636,9LU2144,KUN PENG            ,667001341,2,4.1,121.69899,25.64769,188.5,80,2023-03-16 20:20:57
204,0,BREE   ,KAI SHUN YOU 1      ,413207680,0,11.5,119.4344,25.02253,247.4,80,2023-03-16 20:20:55
219,0,BVCZ8  ,HAI GONG 166        ,412704020,0,0.0,118.03612,24.430857,360.0,80,2023-03-16 20:20:27
220,0,BVG08  ,HAI GONG 169        ,412704030,1,0.0,118.039173,24.430115,360.0,80,2023-03-16 20:18:40
242,,BVGH8  ,,413696450,15,0.0,118.433368,24.635478,116.2,80,2023-03-16 20:17:13
245,0,,HUI HANG 117,413436690,1,0.1,118.108283,24.385317,95.1,80,2023-03-16 20:13:32
255,0,BSZW   ,SHENG YOU 233       ,412480470,0,8.8,120.024993,25.509923,26.0,80,2023-03-16 20:16:19
310,9796913,VRRS6  ,FOREVER SPLENDOR    ,477162400,0,14.0,121.733377,22.827303,22.9,80,2023-03-16 20:20:55
335,0,BOAC7  ,DA AN 38            ,413212970,0,10.2,119.994972,25.654165,207.4,80,2023-03-16 20:16:41
371,9650339,VRKU4  ,ZHUANG YUAN AO      ,477938700,0,11.5,120.098442,25.421285,207.8,80,2023-03-16 20:16:27
414,9734678,C6BV7  ,CONCORDE            ,311000378,0,15.6,120.291252,25.381322,64.9,80,2023-03-16 20:11:46
423,0,BLBZ   ,HAI XIN YOU 602     ,413400630,0,10.3,119.806988,25.291297,200.2,80,2023-03-16 20:17:03
439,0,BISC   ,KAI SHUN YOU 57     ,412431920,1,0.4,118.176,24.358468,360.0,80,2023-03-16 20:20:55
447,9395379,D5IQ6  ,KORO SEA            ,636016968,5,0.0,120.337152,22.541203,121.5,80,2023-03-16 20:20:54
701,9773935,3FOK3  ,STAR ENERGY         ,354536000,5,0.0,120.168237,23.793483,211.2,80,2023-03-16 20:20:43
714,0,BINB   ,HU YOU 8            ,412373510,0,7.0,119.700507,25.161117,65.5,80,2023-03-16 20:18:11
715,0,BIBD9  ,SHEN RUN            ,412380070,0,7.5,118.635387,24.33532,47.8,80,2023-03-16 20:20:52
853,0,BKQM4  ,HENG HUI 7          ,412406130,0,11.3,118.268493,24.122433,230.2,80,2023-03-16 20:20:58
1098,0,BIQX   ,HU YOU 12           ,413373420,0,10.9,119.038975,24.68052,235.0,80,2023-03-16 20:19:59
1101,,BIBJ2  ,,413377810,15,0.0,119.792937,26.265484999999998,355.3,80,2023-03-16 20:16:06
1104,0,BLGO3  ,ZHONG HAI YOU 698   ,413405390,0,0.0,119.695693,26.460397,215.6,80,2023-03-16 20:20:50
1153,6514332,BVVVVB,MIN XIA MEN YOU 0008,413693820,0,0.0,118.037187,24.466283,0.0,80,2023-03-16 20:20:57
1154,,,MIN XIA MEN YOU 0089,413695110,15,0.0,118.037027,24.463318,102.4,80,2023-03-16 20:18:01
1157,,,,413695530,15,0.0,118.03776,24.463878,8.9,80,2023-03-16 20:18:50
1164,,,JINHAISHUN3         ,413695940,15,0.0,118.039853,24.466867,120.6,80,2023-03-16 20:10:03
